,name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,passRate,aerialWonPerGame,manOfMatch,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnOverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
387,Hamari Traoré,"Rennes,",30,Ligue 1,DF,13,1183,0,1,4,0,87.8,1.1,0,1.5,1.4,1.1,0.1,2.4,0.9,0.3,0,0.9,0.6,0.1,0.4,0.1,0.3,0.9,56.9,87.8,0.7,2.1,0,6.77
388,Noussair Mazraoui,"Bayern,",25,Bundesliga,DF,6,553,0,3,0,0,87.9,0.7,0,1.5,0.5,0.9,0.4,1.1,0.4,0.1,0,0.4,0.9,0.5,0.5,0.1,0.1,0.5,34.5,87.9,0.2,0.4,0.1,6.77
389,Leonardo Balerdi,"Marseille,",23,Ligue 1,DF,14,1203,0,1,2,0,85.4,1.6,0,2,2.1,1.1,0.1,2.8,0.4,0.9,1,0.1,0.1,0.3,0.5,0,0,0.7,47.1,85.4,0,3.5,0,6.77
390,Sergio Escudero,"Real Valladolid,",33,La Liga,DF,9,711,0,0,2,0,73.6,1.4,1,2.4,1.1,1,0.4,2.2,1.3,0.2,0,1.2,0.8,0.2,0.9,0.1,0.6,0.7,29.4,73.6,0.7,1.2,0,6.77
391,David García,"Osasuna,",28,La Liga,DF,12,1042,1,0,6,1,80.4,2.6,0,1.3,1.6,1.8,0.8,4.7,0.1,0.3,0,0.7,0.2,0,0.9,0,0,0.3,39.1,80.4,0,4,0,6.77
392,Loïs Openda,"Lens,",22,Ligue 1,FW,11,947,7,0,1,0,70.8,0.3,1,0.1,0.1,1,0,0,0.4,0,0,2.5,0.6,0.2,1.5,0.4,0.7,1.7,11.9,70.8,0.1,0.1,0.1,6.77
393,Stefan Savic,"Atletico,",31,La Liga,DF,10,886,0,0,3,0,87.8,2.4,0,1.6,1.6,1.6,0.6,2.7,0.2,0.2,0,0,0.1,0.2,0.3,0,0.3,0.1,51,87.8,0,3.4,0,6.77
394,Álex Moreno,"Real Betis,",29,La Liga,DF,13,1170,0,3,1,0,78.6,0.5,0,1.7,1.2,0.9,0.5,1.9,1.2,0.3,0,0.8,0.7,0.8,1.5,0.1,0.5,1.6,36.4,78.6,0.2,1.2,0,6.77
395,Pasquale Mazzocchi,"Salernitana,",27,Serie A,DF,15,1208,2,2,2,0,80.3,0.5,1,1.3,0.4,1,0.1,0.9,0.8,0.1,0,0.7,1.7,1.6,0.5,0.3,1.3,2,27.7,80.3,1.1,1.5,0.1,6.77
396,Ben Davies,"Tottenham,",29,Premier League,DF,11,995,2,1,1,0,86.7,1.7,0,0.8,0.8,1.2,0.4,2.3,0.5,0.4,0,0.6,0.9,0.1,0.3,0,0.3,0.8,53.2,86.7,0.3,2.8,0,6.77
397,Karim Onisiwo,"Mainz,",30,Bundesliga,MF,15,1309,4,1,3,0,61.9,2.1,1,0.5,0.1,1.9,0,0.1,0.3,0,0,2.4,1.4,0.9,1.3,0.7,1.6,4,20.5,61.9,0.5,0,0,6.76
398,Felix Nmecha,"Wolfsburg,",22,Bundesliga,MF,6,665,2,2,2,0,71.8,1.2,0,0.9,0.6,0.9,0,1,0.3,0.2,0,1.2,0.5,0.5,1.4,0.1,0.2,1.3,15,71.8,0,0.5,0.1,6.76
399,Marius Wolf,"Borussia Dortmund,",27,Bundesliga,DF,5,516,1,1,1,0,73.3,0.4,3,0.8,0.8,0.6,0,0.9,0.2,0.3,0,1,0.9,0.8,0.8,0.3,0.5,1.3,23.6,73.3,0.5,1.4,0,6.76
400,Andreas Pereira,"Fulham,",26,Premier League,MF,15,1251,2,4,3,0,68.1,0.3,1,0.7,0.3,1.1,0,0.2,0.4,0.1,0,1.3,2.3,0.4,1.1,0.1,1.4,2,25.1,68.1,2.3,1.6,0,6.76
401,Sergio Ramos,"PSG,",36,Ligue 1,DF,12,1012,0,1,3,1,95.6,1.5,0,1.1,1.2,1.1,0.3,1.4,0.5,0.3,0,0.4,0.1,0.3,0.9,0.2,0.1,0.1,67.6,95.6,0.2,4.2,0,6.76
402,Jordan Veretout,"Marseille,",29,Ligue 1,MF,10,983,1,2,1,0,86.4,0.5,1,1.5,1.1,1,0,0.9,0.4,0.2,0,0.6,0.6,0.2,0.5,0.1,0.3,1,43.7,86.4,0.2,2.7,0.1,6.76
403,Eric Dier,"Tottenham,",28,Premier League,DF,14,1285,2,0,1,0,87.6,1.9,0,0.9,1.3,0.4,0.1,3.1,0.2,0.5,0,0.6,0.3,0,0.3,0.1,0.1,0.3,66.7,87.6,0.1,5.1,0,6.76
404,Dan Burn,"Newcastle,",30,Premier League,DF,14,1227,0,0,3,0,79.9,2.1,0,1.2,1,1,0.3,3.2,0.7,0.5,0,0.6,0.3,0.1,0.1,0.3,0.3,0.3,36.8,79.9,0.1,1.7,0,6.76
405,Mohamed Simakan,"RBL,",22,Bundesliga,DF,9,673,1,1,0,0,84.2,1.2,0,0.6,0.8,1,0.3,2.9,0.3,0.2,0,0.7,0.2,0.3,1.1,0.1,0.1,0.8,50.6,84.2,0.1,2.4,0.1,6.76
406,Gavi,"Barcelona,",18,La Liga,MF,9,803,0,1,2,0,90.6,0.9,0,1,0.6,2.4,0,0.4,0.4,0.1,0,0.4,1.2,0.8,1.2,0.3,0.4,1.4,29.7,90.6,0.2,1.1,0.1,6.76
407,Gregor Kobel,"Borussia Dortmund,",25,Bundesliga,GK,11,990,0,0,0,0,81.1,0.4,0,0,0,0,0,0.7,0,0,0,0,0,0,0.2,0,0,0.1,34.6,81.1,0,5.5,0,6.76
408,Gonzalo Plata,"Real Valladolid,",22,La Liga,MF,6,594,0,2,0,0,79,0.2,0,1.2,0.4,0.4,0,0.2,0.6,0,0,1.1,1.1,1.8,1.1,0.1,0.9,1.8,19.5,79,0.1,0.2,0.1,6.75
409,Dante,"Nice,",39,Ligue 1,DF,14,1260,0,0,3,0,91.3,2,0,1.9,1.7,1,0.2,3.2,0.4,0.9,0,0.6,0.1,0,0.2,0,0.4,0.4,69.6,91.3,0,4.9,0,6.75
410,Denzel Dumfries,"Inter,",26,Serie A,DF,13,1085,1,2,2,0,78.3,1.3,0,0.7,0.5,0.7,0.1,1,0.4,0.3,0,1.3,1.1,0.3,1.5,0.1,0.5,1.3,20.9,78.3,0.5,0.7,0,6.75
411,Yunis Abdelhamid,"Reims,",35,Ligue 1,DF,15,1350,0,0,1,0,81.2,1.9,0,2.2,2.3,1.3,0.3,2.7,0.3,0.8,0,1,0.3,0.4,0.6,0.1,0.8,0.6,42.2,81.2,0,3,0,6.75
412,Vicente Guaita,"Crystal Palace,",35,Premier League,GK,14,1260,0,0,1,0,74.4,0.4,2,0,0,0.1,0,1.1,0,0,0,0,0,0,0.1,0,0,0,27.1,74.4,0,5.8,0,6.75
413,Johan Gastien,"Clermont Foot,",34,Ligue 1,MF,14,1218,1,2,4,0,84.6,0.4,0,2.1,1.2,0.4,0,1,2.5,0.4,0,0.6,1,0.2,1,0,0.4,1,73.1,84.6,0.6,5.7,0,6.75
414,César Azpilicueta,"Chelsea,",33,Premier League,DF,7,672,0,0,2,0,83.1,1.5,0,1.5,1.1,1,0.1,2.4,0.2,0.1,0,0.3,0.8,0.3,0.3,0,0.2,0.4,39.8,83.1,0.3,0.3,0,6.75
415,Steve Mandanda,"Rennes,",37,Ligue 1,GK,13,1126,0,1,1,0,68,0.3,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0.1,0.2,0,0,0.2,25.7,68,0,7.6,0,6.75
416,Lazar Samardzic,"Udinese,",20,Serie A,MF,4,523,3,1,0,0,87.4,0.3,0,0.9,0.5,0.6,0,0.4,0.7,0,0,1.1,1,0.1,0.5,0,0.6,1.1,17.1,87.4,0.5,2.1,0,6.75
417,Mario Lemina,"Nice,",29,Ligue 1,MF,10,728,0,0,1,1,90.4,0.3,0,2.7,0.8,0.6,0,1.5,0.5,0.5,0,0.5,0.3,0.7,0.5,0,0.1,0.3,51.9,90.4,0,2,0,6.75
418,Alex Iwobi,"Everton,",26,Premier League,MF,15,1333,1,5,1,0,82,0.1,0,1.9,0.6,0.5,0,1,0.6,0.1,0,0.9,1.8,0.8,0.3,0.1,1.5,1.9,40,82,0.3,2.1,0.1,6.75
419,Dejan Ljubicic,"FC Koln,",25,Bundesliga,MF,7,565,3,0,1,0,81,0.1,1,1.2,0.6,0.8,0,0.1,1,0,0,1.7,1.1,0.3,0.4,0.1,0.3,1.3,21,81,0.2,1.4,0.2,6.75
420,Jimmy Cabot,"Lens,",28,Ligue 1,MF,5,508,0,1,2,0,83.4,0.3,2,1.8,0.4,1.3,0,1,1.3,0,0,0.5,1.5,1.1,0,0.1,0.5,2.4,23,83.4,1.2,1.2,0.1,6.75
421,Silas Mvumpa,"Stuttgart,",24,Bundesliga,MF,13,1051,3,2,1,0,78.6,0.7,2,1.1,0.2,1.1,0.1,0.1,0.4,0.1,0,1.6,0.8,1.8,0.8,0.7,1.8,2.1,13.4,78.6,0.4,0.2,0,6.74
422,Ante Rebic,"AC Milan,",29,Serie A,MF,4,429,3,2,2,0,60.9,0.5,1,0.4,0,1.1,0,0.4,0.2,0,0,1.3,0.8,0.7,0.7,0.2,0.9,1.4,13.3,60.9,0.2,0.5,0.2,6.74
423,James Justin,"Leicester,",24,Premier League,DF,14,1254,0,0,0,0,81.5,1.6,0,1.4,1.1,0.6,0.5,2.6,0.2,0.4,0,0.4,0.5,0.3,2.1,0.1,0.4,1.1,48.7,81.5,0.5,1.9,0,6.74
