name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Michail Antonio,West Ham,32,Premier League,DF,6,605,0.2,0.1,0.8,0,0.2,0.1,0.1,0,6.39
Miguel Veloso,Verona,36,Serie A,MF,10,824,1.4,0.3,0.9,0,0.5,0.4,0.4,1,6.38
Gonçalo Guedes,Wolves,26,Premier League,MF,8,693,0.6,0.1,0.8,0,0.2,0.3,0,0,6.38
Leandro Paredes,Juventus,28,Serie A,MF,3,385,0.9,0.9,0.8,0,0.7,0.4,0,0,6.38
Thomas Delaine,Strasbourg,30,Ligue 1,DF,8,714,1.3,0.4,1.1,0.1,0.4,0.5,0.2,0,6.38
Elvis Rexhbecaj,Augsburg,25,Bundesliga,MF,14,1223,1.9,0.5,1.3,0.1,1,1.2,0.4,0,6.38
Íñigo Eguaras,Almeria,30,La Liga,MF,6,495,0.6,0.4,0.3,0,0.8,0.5,0.3,0,6.38
Rodri,Real Betis,22,La Liga,MF,10,704,0.5,0.5,0.3,0,0,0.2,0,0,6.38
Joseba Zaldúa,Cadiz,30,La Liga,DF,7,640,1.5,1.1,1.1,0.4,2.1,0.3,0.2,0,6.38
Lee Buchanan,Werder Bremen,21,Bundesliga,DF,1,217,0.7,0.8,0.4,0.1,1.1,0.1,0,0,6.38
Sergi Gómez,Espanyol,30,La Liga,DF,10,895,1,1.1,0.5,0.8,5,0.1,0.5,0,6.38
Thilo Kehrer,West Ham,26,Premier League,DF,13,1170,1.7,1.5,1.2,0.3,2.6,1.1,0.2,1,6.38
Alexis Claude-Maurice,Lens,24,Ligue 1,MF,1,213,0.7,0.1,0.3,0,0.1,0.3,0,0,6.38
Fred,Man Utd,29,Premier League,MF,4,394,0.8,0.7,0.8,0,0.2,0.5,0,0,6.38
Daniel-Kofi Kyereh,Freiburg,26,Bundesliga,MF,5,432,0.6,0,1.1,0,0.4,0.3,0,0,6.38
Josko Gvardiol,RBL,20,Bundesliga,DF,8,765,0.4,0.6,0.3,0.5,1.5,0.3,0.3,1,6.37
