name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,shotsPerGame,passRate,aerialWonPerGame,manOfMatch,rating
Sebastian Rudy,Hoffenheim,32,Bundesliga,DF,1,243,0,1,0,0,0,80.3,0,0,6.29
Fran Beltrán,Celta Vigo,23,La Liga,MF,13,1126,0,1,1,0,0.8,92.4,0.5,0,6.29
Iván Alejo,Cadiz,27,La Liga,MF,8,660,0,1,5,0,0.7,70.1,1.2,0,6.29
Tanguy Nianzou,Sevilla,20,La Liga,DF,8,643,0,0,0,1,0.3,91.2,1,0,6.29
Federico Di Francesco,Lecce,28,Serie A,MF,8,654,1,1,4,0,0.6,70.9,0.2,0,6.29
Mitchel Bakker,Leverkusen,22,Bundesliga,DF,9,765,1,1,1,1,0.5,76.8,0.5,0,6.29
Omar Mascarell,Elche,29,La Liga,MF,12,1016,0,0,3,0,0.2,86.4,0.8,0,6.29
Mikkel Damsgaard,Brentford,22,Premier League,MF,1,261,0,0,2,0,0.3,74.1,0.1,0,6.29
Marcus Coco,Nantes,26,Ligue 1,MF,3,215,0,0,0,0,0.3,76.8,0.8,0,6.29
Ivan Rakitic,Sevilla,34,La Liga,MF,6,524,0,0,1,1,0.7,82.6,0.6,0,6.28
Stuart Armstrong,Southampton,30,Premier League,MF,7,690,1,0,2,0,0.9,81.8,0.4,0,6.28
Jesús Navas,Sevilla,37,La Liga,DF,6,624,0,0,3,0,0.5,81,0.4,0,6.28
Valery Fernández,Girona,23,La Liga,MF,4,397,0,1,1,0,0.4,88.6,0,0,6.28
Thorgan Hazard,Borussia Dortmund,29,Bundesliga,MF,2,455,0,0,1,0,0.6,80,0.3,0,6.28
Andreas Bruus,Troyes,23,Ligue 1,DF,5,505,0,1,2,0,0.2,73.6,0,0,6.28
Enzo Millot,Stuttgart,20,Bundesliga,MF,3,350,0,0,2,0,0.5,84.1,0.2,0,6.27
Julian Jeanvier,Auxerre,30,Ligue 1,DF,9,728,1,0,1,1,0.4,88.5,0.8,0,6.27
Khalil Fayad,Montpellier,18,Ligue 1,MF,4,326,0,1,0,1,0.4,82.3,0.2,0,6.27
Cyriel Dessers,Cremonese,27,Serie A,FW,11,865,2,1,1,0,2.1,63.2,0.4,0,6.27
Ezequiel Ponce,Elche,25,La Liga,MF,4,506,2,0,2,0,0.9,73.7,1.2,0,6.27
Clément Grenier,Mallorca,31,La Liga,MF,4,404,0,0,6,0,0.2,80.2,0,0,6.27
Djené Dakonam,Getafe,30,La Liga,DF,12,1004,0,0,4,0,0.2,84.2,1.2,0,6.27
Keidi Bare,Espanyol,25,La Liga,MF,3,328,0,0,0,0,0.4,84.8,0.4,0,6.27
Yves Bissouma,Tottenham,26,Premier League,MF,6,602,0,0,3,0,0.4,91.6,0.1,0,6.27
Angelo Fulgini,Mainz,26,Bundesliga,MF,5,490,0,1,0,0,0.4,82.3,0.3,0,6.27
Yannik Keitel,Freiburg,22,Bundesliga,MF,4,345,0,1,2,0,0,83.1,0.5,0,6.27
Tanguy Ndombélé,Napoli,25,Serie A,MF,6,467,0,0,2,0,0.9,89.5,0.3,0,6.26
Léo Leroy,Montpellier,22,Ligue 1,MF,2,251,0,0,3,0,0.4,71.2,0.8,0,6.26
Gonzalo Escalante,Cremonese,29,Serie A,MF,7,556,0,1,0,1,0.7,77.6,1,0,6.26
Andrea Petagna,Monza,27,Serie A,FW,6,534,1,1,0,0,0.8,73.8,0.5,0,6.26
Armando Broja,Chelsea,21,Premier League,FW,2,290,1,0,0,0,0.5,62.3,0.8,0,6.26
Brian Ocampo,Cadiz,23,La Liga,MF,7,562,0,0,1,0,0.5,77.4,0.5,0,6.26
Emre Can,Borussia Dortmund,28,Bundesliga,DF,3,394,0,0,4,0,0.3,88.8,0.5,0,6.26
Neal Maupay,Everton,26,Premier League,MF,6,554,1,0,1,0,1.3,82.1,0.5,0,6.26
Gonçalo Paciência,Celta Vigo,28,La Liga,FW,3,328,1,0,1,1,1.5,56.3,1.4,0,6.26
José Mari,Cadiz,35,La Liga,MF,2,282,0,0,1,0,0.2,80.9,0.3,0,6.26
Marvin Schwäbe,FC Koln,27,Bundesliga,GK,15,1350,0,0,0,0,0,79.4,0.1,1,6.26
Gauthier Hein,Auxerre,26,Ligue 1,MF,8,672,1,0,0,0,0.7,89.3,0.1,0,6.26
Iké Ugbo,Troyes,24,Ligue 1,FW,5,385,1,1,0,0,0.5,72.7,0.2,0,6.26
Jim Allevinah,Clermont Foot,27,Ligue 1,MF,5,542,1,0,1,0,0.9,83.2,0.2,0,6.25
Dion Lopy,Reims,20,Ligue 1,MF,8,608,0,0,2,2,0.5,84.1,0.6,0,6.25
Erhan Masovic,Bochum,24,Bundesliga,DF,7,719,0,0,0,0,0.1,83.6,1.2,0,6.25
Pablo Sarabia,PSG,30,Ligue 1,DF,3,314,0,0,1,0,0.3,83.6,0,0,6.25
Oliver Burke,Werder Bremen,25,Bundesliga,MF,1,242,2,0,0,0,0.6,72.2,0.5,0,6.25
Christian Pulisic,Chelsea,24,Premier League,MF,3,415,1,1,1,0,0.8,82.8,0.3,0,6.25
Valerio Verre,Sampdoria,28,Serie A,MF,3,426,0,0,5,0,0.7,77.1,0.5,0,6.25
Dyego Sousa,Almeria,33,La Liga,FW,2,302,0,1,1,0,0.8,69.6,1.2,0,6.25
Kieran Tierney,Arsenal,25,Premier League,DF,3,346,0,0,0,0,0.4,77.7,0,0,6.25
Lucas Alario,Eintracht Frankfurt,30,Bundesliga,FW,2,234,1,0,0,0,0.8,70.9,0.8,0,6.25
Kingsley Ehizibue,Udinese,27,Serie A,DF,2,339,0,0,2,0,0.2,75.3,0.5,0,6.25
Luca Kilian,FC Koln,23,Bundesliga,DF,13,1099,1,0,1,2,0.3,86.2,1.7,0,6.24
Jon Moncayola,Osasuna,24,La Liga,MF,9,873,0,0,2,0,1.2,85,0.3,0,6.24
Liam Henderson,Empoli,26,Serie A,MF,7,600,0,1,4,0,0.4,80.1,0.2,0,6.24
Matthis Abline,Rennes,19,Ligue 1,FW,0,96,1,0,0,0,0.6,50,0.1,0,6.24
Cédric Hountondji,Angers,28,Ligue 1,DF,15,1338,0,0,2,0,0.4,87.4,1.1,0,6.24
Nicolò Zaniolo,Roma,23,Serie A,MF,10,772,1,0,3,0,2,69,0.4,0,6.24
Taiwo Awoniyi,Nottingham Forest,25,Premier League,FW,6,512,3,0,0,0,1.2,78.3,0.5,0,6.24
Birger Meling,Rennes,27,Ligue 1,DF,2,276,0,0,1,1,0,84.6,0.9,0,6.24
Cédric Avinel,AC Ajaccio,36,Ligue 1,DF,8,696,1,0,1,1,0.2,84.4,1.4,1,6.24
Jens Stage,Werder Bremen,26,Bundesliga,MF,6,560,0,1,0,0,0.3,62.1,0.6,0,6.24
Daniel Caligiuri,Augsburg,34,Bundesliga,DF,2,255,1,0,1,0,0.5,62.8,0.2,0,6.24
Ismaël Diallo,AC Ajaccio,25,Ligue 1,DF,10,927,0,0,3,0,0.1,77.8,0.8,0,6.24
Achraf Dari,Brest,23,Ligue 1,DF,8,720,1,0,1,0,0.4,81.6,2,0,6.24
Helibelton Palacios,Elche,29,La Liga,DF,8,707,0,0,3,0,0.3,81.3,0.7,0,6.24
Adrien Tameze,Verona,28,Serie A,MF,12,1061,0,0,1,0,0.4,74.9,0.9,0,6.24
Kaan Ayhan,Sassuolo,28,Serie A,DF,5,543,0,0,1,0,0.1,86.9,0.3,0,6.24
Chris Wood,Newcastle,31,Premier League,FW,2,265,1,0,0,0,0.4,63.2,1.1,0,6.24
Lilian Egloff,Stuttgart,20,Bundesliga,MF,2,231,0,0,1,0,0.9,62.3,0.1,0,6.23
Brennan Johnson,Nottingham Forest,21,Premier League,MF,13,1189,2,0,2,0,1.3,61.3,0.7,0,6.23
Dimitri Foulquier,Valencia,29,La Liga,DF,2,283,0,1,2,0,0.1,67.3,0.7,0,6.23
Erik Botheim,Salernitana,22,Serie A,FW,3,326,1,1,1,0,0.3,65.4,0.9,0,6.23
Jaidon Anthony,Bournemouth,23,Premier League,MF,1,265,2,0,0,0,0.6,72.1,0.4,0,6.23
Domagoj Bradaric,Salernitana,22,Serie A,DF,4,501,0,1,1,0,0.4,84.5,0.4,0,6.23
Florent Ogier,Clermont Foot,33,Ligue 1,DF,7,670,0,1,2,0,0.2,84.6,1.6,0,6.23
Michel Aebischer,Bologna,25,Serie A,MF,7,623,1,0,2,0,0.7,83.3,0.4,0,6.23
Javi Hernández,Girona,24,La Liga,DF,4,364,0,1,1,0,0.4,85.4,0.4,0,6.23
Arnaut Danjuma,Villarreal,25,La Liga,MF,6,478,2,0,0,0,0.9,72.8,0,0,6.23
Rayan Raveloson,Auxerre,25,Ligue 1,MF,8,726,0,0,0,0,0.8,87,0.6,0,6.23
Raúl Guti,Elche,25,La Liga,MF,8,622,0,0,1,0,0.5,85.6,0.2,0,6.23
Anthony Lozano,Cadiz,29,La Liga,MF,8,757,0,0,2,0,1.1,67.9,2.7,0,6.22
Kristoffer Askildsen,Lecce,21,Serie A,MF,6,503,0,0,2,0,0.8,68.8,0.9,0,6.22
