name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,shotsPerGame,passRate,aerialWonPerGame,manOfMatch,rating
Lionel Messi,PSG,35,Ligue 1,MF,13,1132,7,10,0,0,4.3,83.4,0,7,8.65
Neymar,PSG,30,Ligue 1,MF,12,1085,11,9,3,0,2.4,82.6,0.1,2,7.96
Erling Haaland,Man City,22,Premier League,FW,12,1041,18,3,2,0,4,76.5,1,3,7.9
Kylian Mbappé,PSG,23,Ligue 1,MF,13,1146,12,2,2,0,4.3,84,0.4,1,7.87
Kevin De Bruyne,Man City,31,Premier League,MF,13,1135,3,9,0,0,2.4,79.5,0.4,5,7.76
Martin Terrier,Rennes,25,Ligue 1,MF,14,1204,8,3,0,0,3,76.4,4,7,7.76
Robert Lewandowski,Barcelona,34,La Liga,FW,13,1068,13,4,0,1,3.6,80,1.1,7,7.73
Joshua Kimmich,Bayern,27,Bundesliga,DF,14,1277,2,3,3,0,1.2,89.2,0.7,1,7.67
Rémy Cabella,Lille,32,Ligue 1,MF,8,724,3,5,0,0,1.2,86.4,0.2,1,7.65
Jamal Musiala,Bayern,19,Bundesliga,MF,12,1000,9,6,0,0,2.6,83.9,0.5,3,7.64
Kieran Trippier,Newcastle,32,Premier League,DF,15,1327,1,3,3,0,0.4,77.3,1.2,5,7.6
Gabriel Jesus,Arsenal,25,Premier League,MF,14,1226,5,5,4,0,3.6,81.9,1.7,2,7.59
Khvicha Kvaratskhelia,Napoli,21,Serie A,MF,11,876,6,5,0,0,2.8,81.6,0.2,4,7.55
Harry Kane,Tottenham,29,Premier League,MF,15,1338,12,1,4,0,3.7,73.3,1.2,2,7.47
Marcus Thuram,Borussia M.Gladbach,25,Bundesliga,MF,15,1350,10,3,2,0,3.7,73.3,1.3,3,7.45
Jude Bellingham,Borussia Dortmund,19,Bundesliga,MF,15,1350,3,2,4,0,2.1,82.5,1.5,4,7.45
Vinícius Júnior,Real Madrid,22,La Liga,MF,14,1231,6,3,3,0,2.6,82,0,2,7.44
Alexandre Lacazette,Lyon,31,Ligue 1,MF,15,1303,9,3,2,0,3.1,73.1,0.7,2,7.44
Christopher Nkunku,RBL,25,Bundesliga,MF,14,1283,12,0,1,0,2.9,82.6,0.8,5,7.43
Niclas Füllkrug,Werder Bremen,29,Bundesliga,FW,14,1219,10,2,4,0,3.3,62.5,5.1,4,7.42
Aleksandar Mitrovic,Fulham,28,Premier League,FW,12,1021,9,0,4,0,4.7,57.2,5.2,3,7.42
Enzo Le Fée,Lorient,22,Ligue 1,MF,15,1334,2,3,1,0,1.3,84.8,0.4,3,7.42
Victor Osimhen,Napoli,23,Serie A,FW,10,905,9,2,1,0,4.4,74,2.3,2,7.42
Sergej Milinkovic-Savic,Lazio,27,Serie A,MF,13,1157,3,7,6,0,1.5,76.3,2.2,3,7.41
Vincenzo Grifo,Freiburg,29,Bundesliga,MF,14,1130,9,2,0,0,2.3,80.1,0.4,3,7.41
Dango Ouattara,Lorient,20,Ligue 1,MF,14,1197,5,4,1,1,2.7,65.9,1.9,2,7.4
Florian Sotoca,Lens,32,Ligue 1,MF,14,1239,6,5,3,0,2.8,81,1.3,3,7.4
Rodrygo,Real Madrid,21,La Liga,MF,10,914,4,4,1,0,3.3,88.1,0.7,1,7.4
James Maddison,Leicester,26,Premier League,MF,13,1100,7,4,5,0,3,84.2,0.2,3,7.39
Martin Ødegaard,Arsenal,23,Premier League,MF,13,1083,6,2,2,0,2.3,81.3,0.5,3,7.38
Phil Foden,Man City,22,Premier League,MF,11,911,7,3,1,0,1.9,85.6,0.6,0,7.37
Paulo Dybala,Roma,29,Serie A,MF,8,601,5,2,2,0,2.9,82.8,0.2,2,7.36
Michael Gregoritsch,Freiburg,28,Bundesliga,MF,15,1128,6,3,2,0,2.5,56,4.9,3,7.36
Bukayo Saka,Arsenal,21,Premier League,DF,14,1179,4,6,3,0,2.1,83.9,0.3,1,7.35
Gabriel Martinelli,Arsenal,21,Premier League,MF,14,1187,5,2,1,0,2.4,85.1,0.4,1,7.35
Federico Valverde,Real Madrid,24,La Liga,MF,12,1108,6,2,1,0,2.2,89.5,0.9,3,7.35
Rodri,Man City,26,Premier League,DF,13,1125,0,3,1,0,1.5,91.1,2.7,0,7.34
Benjamin André,Lille,32,Ligue 1,DF,14,1218,1,1,4,0,0.9,84.8,3.5,2,7.34
Ousmane Dembélé,Barcelona,25,La Liga,MF,11,874,4,5,3,0,2.1,84.7,0.1,2,7.33
Bruno Guimarães,Newcastle,25,Premier League,MF,12,999,3,2,1,0,0.8,83.1,0.3,1,7.33
Jonathan David,Lille,22,Ligue 1,MF,15,1331,9,3,3,0,3.3,83.9,0.3,3,7.33
Serge Gnabry,Bayern,27,Bundesliga,MF,10,834,8,3,0,0,2.7,83.1,0.1,2,7.33
Amine Gouiri,Rennes,22,Ligue 1,MF,10,794,6,1,1,0,2.4,80.5,0.9,0,7.32
Rodrigo Bentancur,Tottenham,25,Premier League,MF,13,1186,4,2,5,0,0.9,86.1,0.9,1,7.32
Mikel Merino,Real Sociedad,26,La Liga,MF,13,1129,1,6,5,0,1.7,77,3.3,4,7.31
Ivan Toney,Brentford,26,Premier League,FW,14,1260,10,2,5,0,2.9,64.1,3.1,2,7.3
Eric Choupo-Moting,Bayern,33,Bundesliga,MF,6,520,6,2,0,0,1.5,75.5,1,2,7.29
Adrien Rabiot,Juventus,27,Serie A,MF,11,935,3,2,1,0,1.2,85.5,1,1,7.28
Leroy Sané,Bayern,26,Bundesliga,MF,8,840,5,3,3,0,3.1,83.8,0.3,0,7.27
Thomas Partey,Arsenal,29,Premier League,DF,11,961,2,0,1,0,1.1,87.5,1.2,1,7.27
Randal Kolo Muani,Eintracht Frankfurt,24,Bundesliga,MF,13,1122,5,9,1,1,2,65.8,1.4,3,7.25
Jonas Hofmann,Borussia M.Gladbach,30,Bundesliga,DF,13,1155,5,4,0,0,1.5,78.8,0.5,2,7.25
Frenkie de Jong,Barcelona,25,La Liga,DF,9,898,2,1,0,0,1,90.5,0.5,0,7.24
Mário Rui,Napoli,31,Serie A,DF,11,977,0,5,2,0,0.5,83.1,0.7,1,7.23
Dominik Szoboszlai,RBL,22,Bundesliga,MF,11,953,1,7,0,1,1.4,83.2,0.1,1,7.23
Joelinton,Newcastle,26,Premier League,MF,12,1060,1,1,5,0,1.5,81.7,1.8,1,7.22
Konstantinos Mavropanos,Stuttgart,24,Bundesliga,DF,13,1149,2,1,5,0,1.9,79.9,2.5,1,7.22
Pedri,Barcelona,20,La Liga,MF,12,1030,3,0,0,0,0.7,91.1,0.1,2,7.21
Marco Verratti,PSG,30,Ligue 1,MF,14,1060,0,0,5,0,0.2,94,0.2,0,7.21
Willi Orbán,RBL,30,Bundesliga,DF,15,1350,3,0,1,0,1,88.4,3.5,0,7.21
Lorenzo Pellegrini,Roma,26,Serie A,MF,13,1105,1,4,2,0,2.5,79.5,0.5,4,7.21
Lautaro Martínez,Inter,25,Serie A,FW,14,1219,7,3,1,0,3.4,75.1,1.1,2,7.21
Benjamin Pavard,Bayern,26,Bundesliga,DF,11,1018,1,0,2,0,1.1,89.1,1.5,1,7.21
Roberto Firmino,Liverpool,31,Premier League,MF,11,937,7,3,0,0,2.5,79.6,1,2,7.2
Antoine Griezmann,Atletico,31,La Liga,MF,7,772,5,3,0,0,1.9,84.7,0.5,2,7.2
Mattia Zaccagni,Lazio,27,Serie A,MF,13,1026,5,3,2,0,1.7,83.9,0.2,1,7.19
Miguel Almirón,Newcastle,28,Premier League,MF,15,1264,8,1,0,0,2.5,85.5,0.3,1,7.19
Maximilian Arnold,Wolfsburg,28,Bundesliga,MF,15,1310,3,2,4,0,1.1,81,0.9,2,7.19
Brais Méndez,Real Sociedad,25,La Liga,MF,13,1125,6,2,4,0,2.1,84.3,0.6,0,7.18
Armand Laurienté,Sassuolo,24,Serie A,MF,9,753,2,3,1,1,2.1,81.6,0.1,2,7.18
Frank Anguissa,Napoli,27,Serie A,MF,13,1098,2,3,1,0,1.8,88.5,1.4,1,7.18
Hakan Çalhanoglu,Inter,28,Serie A,MF,13,1079,2,4,1,0,1.7,87.5,0.5,2,7.17
Joselu,Espanyol,32,La Liga,FW,14,1260,7,1,1,0,2.7,61.8,5.1,1,7.17
Aleix García,Girona,25,La Liga,MF,14,1247,0,3,1,0,1.4,89.7,0.5,1,7.17
Sadio Mané,Bayern,30,Bundesliga,MF,12,913,6,3,1,0,2.9,74.8,0.7,0,7.17
Fabian Schär,Newcastle,30,Premier League,DF,14,1245,1,0,4,0,1.1,75.7,2.4,0,7.17
José Gayà,Valencia,27,La Liga,DF,10,866,0,2,1,0,1,83.8,0.8,2,7.17
Rafal Gikiewicz,Augsburg,35,Bundesliga,GK,11,990,0,0,2,0,0,60.3,0,3,7.17
Bruno Fernandes,Man Utd,28,Premier League,MF,13,1170,2,1,5,0,2,77.8,0.6,1,7.16
Piotr Zielinski,Napoli,28,Serie A,MF,11,917,3,5,0,0,1.7,84.3,0,1,7.16
Ciro Immobile,Lazio,32,Serie A,FW,10,818,6,3,2,0,2.5,75.1,0.5,3,7.16
Daichi Kamada,Eintracht Frankfurt,26,Bundesliga,MF,11,964,7,3,1,0,1.5,84.5,0.4,2,7.15
Aurélien Tchouaméni,Real Madrid,22,La Liga,MF,11,903,0,2,1,0,1.2,93.2,1.8,1,7.15
Gianluigi Donnarumma,PSG,23,Ligue 1,GK,15,1350,0,0,1,0,0,86.8,0.2,2,7.15
João Cancelo,Man City,28,Premier League,DF,14,1121,2,1,3,1,1.1,87.3,1.7,1,7.15
Lucas Martínez,Fiorentina,26,Serie A,DF,12,1046,1,0,2,0,0.9,83.5,3.2,1,7.14
Bernd Leno,Fulham,30,Premier League,GK,13,1170,0,0,0,0,0,74.3,0.5,1,7.14
Nabil Bentaleb,Angers,28,Ligue 1,MF,12,1074,2,1,0,0,1.1,82.3,1.3,3,7.14
Gerónimo Rulli,Villarreal,30,La Liga,GK,14,1260,0,0,1,0,0,83.7,0.2,2,7.14
Vedat Muriqi,Mallorca,28,La Liga,FW,12,1043,8,1,3,1,3.1,61.1,4.8,3,7.14
Moussa Diaby,Leverkusen,23,Bundesliga,MF,15,1257,6,3,1,0,1.9,80.9,0.2,1,7.13
Yann Sommer,Borussia M.Gladbach,33,Bundesliga,GK,10,900,0,0,0,0,0,80.5,0,2,7.13
Dodi Lukébakio,Hertha Berlin,25,Bundesliga,MF,15,1266,7,1,5,0,2.5,72.9,0.7,3,7.13
Bernardo Silva,Man City,28,Premier League,MF,12,1069,2,5,1,0,1,89.9,0,0,7.12
Branco van den Boomen,Toulouse,27,Ligue 1,MF,15,1330,1,4,2,0,1.8,82.6,0.2,0,7.12
Andrei Girotto,Nantes,30,Ligue 1,DF,14,1245,0,1,3,0,0.7,84.4,2.1,1,7.12
Rafael Leão,AC Milan,23,Serie A,MF,12,1012,6,4,2,1,3.6,79.4,0.7,4,7.12
Kim Min-Jae,Napoli,26,Serie A,DF,14,1260,2,0,2,0,0.4,89.6,3.1,0,7.11
Breel Embolo,Monaco,25,Ligue 1,MF,13,1094,7,2,2,0,1.6,68,1.1,1,7.1
Ilkay Gündogan,Man City,32,Premier League,MF,10,894,2,2,0,0,1.8,89.7,0.9,0,7.1
Gerard Deulofeu,Udinese,28,Serie A,MF,15,1206,2,6,1,0,2.9,80.2,0.1,2,7.1
Guido Rodríguez,Real Betis,28,La Liga,MF,12,1045,0,0,2,0,0.7,88.7,1.1,1,7.1
Son Heung-Min,Tottenham,30,Premier League,MF,12,1035,3,2,0,0,2.8,80.6,0.3,2,7.1
Achraf Hakimi,PSG,24,Ligue 1,DF,12,1076,3,1,3,0,0.6,89.2,0.3,0,7.09
Terem Moffi,Lorient,23,Ligue 1,MF,13,1043,10,0,1,0,1.9,74.7,0.9,1,7.09
Romain Del Castillo,Brest,26,Ligue 1,MF,6,517,4,2,2,0,1.7,71.9,0.2,2,7.09
Ismaël Bennacer,AC Milan,25,Serie A,MF,12,1071,1,1,2,0,0.4,88.7,0.9,1,7.09
Seko Fofana,Lens,27,Ligue 1,MF,12,1116,3,2,0,0,2.3,90.7,0.5,2,7.08
Matthias Ginter,Freiburg,28,Bundesliga,DF,15,1350,2,1,2,0,0.6,84.2,3.4,0,7.08
Rafael Tolói,Atalanta,32,Serie A,DF,10,857,1,0,3,0,1,75.3,1.6,1,7.08
Adam Ounas,Lille,26,Ligue 1,MF,7,665,1,1,1,0,1.9,80.2,0.4,0,7.08
Alphonso Davies,Bayern,22,Bundesliga,DF,12,1005,0,1,0,0,0.6,89.1,0.2,1,7.08
Nuno Mendes,PSG,20,Ligue 1,DF,8,753,1,3,1,0,0.4,85.9,0.4,0,7.08
Paulo Otávio,Wolfsburg,28,Bundesliga,DF,13,1132,0,4,4,0,0.7,75.2,1.2,0,7.07
Pau López,Marseille,27,Ligue 1,GK,12,1080,0,1,1,0,0,75.4,0.2,0,7.07
Alassane Plea,Borussia M.Gladbach,29,Bundesliga,MF,10,830,2,7,2,0,1.4,71.9,0.5,2,7.07
Pierre-Emile Højbjerg,Tottenham,27,Premier League,MF,14,1245,3,2,1,0,1.1,89.2,0.4,1,7.07
Toni Kroos,Real Madrid,32,La Liga,MF,10,863,1,2,0,1,1.1,94.6,0.3,1,7.06
Florian Kainz,FC Koln,30,Bundesliga,MF,13,1043,5,4,1,1,2.1,72.5,0.4,2,7.06
Casemiro,Man Utd,30,Premier League,MF,7,709,1,1,2,0,0.8,79.1,2.1,1,7.06
Wilfried Zaha,Crystal Palace,30,Premier League,MF,13,1149,6,2,3,0,2.7,82.9,0.3,2,7.06
Jeremie Frimpong,Leverkusen,21,Bundesliga,DF,14,1182,5,2,1,0,1,79.2,0.4,1,7.06
Florian Tardieu,Troyes,30,Ligue 1,MF,10,880,3,0,2,0,1,90.5,0.6,0,7.05
Alexis Mac Allister,Brighton,23,Premier League,MF,14,1257,5,0,4,0,1.9,88.7,0.6,1,7.05
Leon Goretzka,Bayern,27,Bundesliga,MF,9,706,3,1,1,0,2,82.1,1.6,1,7.05
Leandro Trossard,Brighton,28,Premier League,MF,14,1183,7,2,1,0,2.6,74.2,0.4,2,7.05
Callum Wilson,Newcastle,30,Premier League,FW,10,795,6,2,1,0,2.5,71.6,1,1,7.05
Yeray Álvarez,Athletic Bilbao,27,La Liga,DF,12,1058,0,1,2,0,0.4,81.7,2.2,1,7.04
Pascal Struijk,Leeds,23,Premier League,DF,13,1165,1,1,2,0,0.8,79.5,2.5,0,7.04
Aleksandr Golovin,Monaco,26,Ligue 1,MF,11,969,3,3,1,0,1.9,75.3,0.4,2,7.04
Ivan Provedel,Lazio,28,Serie A,GK,14,1342,0,0,0,0,0,75.7,0.2,0,7.04
Felipe Anderson,Lazio,29,Serie A,MF,15,1226,3,2,1,0,1,79.9,0.3,1,7.03
Nicolò Barella,Inter,25,Serie A,MF,15,1288,5,5,2,0,0.9,84,0.9,1,7.03
Thiago Silva,Chelsea,38,Premier League,DF,11,1073,0,2,1,0,0.5,89.6,2.3,1,7.03
Jonathan Clauss,Marseille,30,Ligue 1,DF,14,1112,1,5,0,0,1.4,76.3,0.2,2,7.03
Ardian Ismajli,Empoli,26,Serie A,DF,10,935,0,0,1,0,0.5,81.5,2.3,2,7.03
Téji Savanier,Montpellier,30,Ligue 1,MF,12,1024,4,1,2,1,2.1,77.7,0.5,2,7.03
Juan Cuadrado,Juventus,34,Serie A,DF,13,1029,0,3,3,1,1.1,85.7,0.4,2,7.03
Granit Xhaka,Arsenal,30,Premier League,DF,14,1169,3,3,2,0,1.1,85.1,1.1,1,7.03
Alisson,Liverpool,30,Premier League,GK,14,1260,0,1,0,0,0,81.6,0.3,2,7.03
Jaka Bijol,Udinese,23,Serie A,DF,12,941,2,0,3,0,0.3,85.4,3.1,1,7.03
Alessio Romagnoli,Lazio,27,Serie A,DF,13,1195,1,0,0,0,0.5,89.5,2.1,1,7.03
Enes Ünal,Getafe,25,La Liga,FW,14,1220,4,2,3,0,2.2,63.7,4.6,2,7.03
Ramy Bensebaïni,Borussia M.Gladbach,27,Bundesliga,DF,14,1251,5,0,3,0,1.6,77,2.4,0,7.02
Fabiano Parisi,Empoli,22,Serie A,DF,14,1222,2,0,3,0,0.9,75.2,0.8,0,7.02
Manuel Locatelli,Juventus,24,Serie A,MF,12,978,0,0,3,0,0.9,83.3,1.2,0,7.02
Frederik Rønnow,Union Berlin,30,Bundesliga,GK,11,990,0,0,1,0,0,67.3,0.3,2,7.02
Mama Baldé,Troyes,27,Ligue 1,DF,14,1212,7,3,2,1,2.9,70.6,1.3,3,7.02
Nico Schlotterbeck,Borussia Dortmund,23,Bundesliga,DF,15,1285,1,2,3,0,0.5,86.4,2.5,0,7.02
Benjamin Bourigeaud,Rennes,28,Ligue 1,MF,15,1190,2,4,0,0,1.5,78.6,0.1,1,7.02
Theo Hernández,AC Milan,25,Serie A,DF,13,1155,2,2,5,0,2.2,79.5,1.4,1,7.01
Mats Hummels,Borussia Dortmund,33,Bundesliga,DF,13,1062,0,0,4,0,0.4,88.5,2.5,0,7.01
Rasmus Nicolaisen,Toulouse,25,Ligue 1,DF,14,1197,0,2,2,1,0.4,82.4,4,1,7.01
Mitchell Weiser,Werder Bremen,28,Bundesliga,DF,15,1290,1,6,4,0,0.9,71.2,0.9,1,7.01
Ibañez,Roma,24,Serie A,DF,15,1350,1,0,3,0,0.6,89.3,1.6,0,7.01
Dusan Vlahovic,Juventus,22,Serie A,FW,10,854,6,1,0,0,3.1,71.3,1.7,2,7
Sergi Darder,Espanyol,28,La Liga,MF,14,1235,2,1,2,0,1.3,78.8,0.1,2,7
Rúben Neves,Wolves,25,Premier League,MF,14,1260,4,0,6,0,1.9,85.1,0.8,3,7
Anton Stach,Mainz,24,Bundesliga,MF,12,1018,1,3,3,0,1.5,70,2.5,1,7
Alejandro Balde,Barcelona,19,La Liga,DF,12,973,0,3,2,0,0.5,91.7,0.3,0,7
Caio Henrique,Monaco,25,Ligue 1,DF,12,1086,1,5,2,0,0.5,78.5,0.1,1,7
Diogo Dalot,Man Utd,23,Premier League,DF,13,1166,0,1,5,0,0.8,77.8,1.8,2,7
Isi Palazón,Rayo Vallecano,27,La Liga,MF,12,997,3,3,1,0,2.3,84.3,0.6,0,7
Julian Brandt,Borussia Dortmund,26,Bundesliga,MF,12,1060,4,2,0,0,0.9,82.6,0.3,1,6.99
Nicolás Tagliafico,Lyon,30,Ligue 1,DF,15,1329,1,2,2,0,0.7,88.1,1,1,6.99
Eberechi Eze,Crystal Palace,24,Premier League,MF,14,1148,2,3,0,0,1.9,84.5,0.4,1,6.99
James Tarkowski,Everton,30,Premier League,DF,15,1350,0,0,2,0,0.7,81.6,3,1,6.99
Wataru Endo,Stuttgart,29,Bundesliga,MF,14,1215,2,0,0,0,1.6,75.9,2.4,0,6.99
Axel Disasi,Monaco,24,Ligue 1,DF,15,1350,1,3,2,0,0.7,82.5,2.3,1,6.99
Ben Mee,Brentford,33,Premier League,DF,14,1210,2,1,1,0,0.7,78,3.6,1,6.99
Iago Aspas,Celta Vigo,35,La Liga,MF,12,1121,7,2,2,0,2,79.6,0.6,1,6.99
Wout Faes,Leicester,24,Premier League,DF,9,810,0,0,1,0,0.3,85.9,2,0,6.99
Jean-Ricner Bellegarde,Strasbourg,24,Ligue 1,MF,15,1300,1,3,3,0,1.1,80.7,0.5,3,6.99
Marvin Ducksch,Werder Bremen,28,Bundesliga,FW,15,1307,3,3,1,0,2.8,71.9,0.7,1,6.98
Kevin Danso,Lens,24,Ligue 1,DF,15,1350,1,1,3,0,0.6,88.9,2.5,2,6.98
Mohamed Salah,Liverpool,30,Premier League,MF,14,1239,6,3,0,0,3.6,76.4,0.1,0,6.98
Teun Koopmeiners,Atalanta,24,Serie A,DF,14,1296,4,1,3,0,1.8,76.4,0.8,1,6.98
Danilo,Juventus,31,Serie A,DF,14,1272,0,2,2,0,0.6,83.4,1.3,0,6.98
Koen Casteels,Wolfsburg,30,Bundesliga,GK,15,1350,0,0,0,0,0,74,0.1,1,6.98
Darwin Núñez,Liverpool,23,Premier League,MF,7,606,5,2,0,1,3.9,74.3,1.4,2,6.98
Lee Kang-In,Mallorca,21,La Liga,MF,13,1097,2,3,4,0,1.4,82.3,0.2,2,6.97
Gabriel Magalhães,Arsenal,24,Premier League,DF,14,1260,2,0,2,0,0.9,89.9,2.1,2,6.97
Jonathan Bamba,Lille,26,Ligue 1,MF,14,1256,4,3,3,0,2,82.6,0.9,0,6.97
Dejan Kulusevski,Tottenham,22,Premier League,MF,7,615,1,5,0,0,1.4,84.5,0.2,1,6.97
Jordan Pickford,Everton,28,Premier League,GK,14,1260,0,1,3,0,0,55.7,0.2,3,6.97
Gaëtan Laborde,Nice,28,Ligue 1,MF,8,735,3,0,0,0,1.8,70.1,1.7,1,6.97
Daniel Parejo,Villarreal,33,La Liga,MF,14,1230,0,2,2,0,0.8,89,0.3,1,6.97
Alexis Flips,Reims,22,Ligue 1,MF,8,645,1,2,1,1,1.4,69.6,0.5,1,6.97
Youri Tielemans,Leicester,25,Premier League,MF,14,1172,3,1,1,0,1.1,86.4,0.8,0,6.97
Dayot Upamecano,Bayern,24,Bundesliga,DF,15,1342,0,0,1,0,0.3,90.5,2.1,0,6.97
Alfonso Pedraza,Villarreal,26,La Liga,DF,10,808,0,1,1,0,1.5,79.9,0.9,0,6.97
Samuel Lino,Valencia,22,La Liga,MF,14,1216,2,0,3,0,2.7,82.6,0.5,1,6.97
Sheraldo Becker,Union Berlin,27,Bundesliga,MF,15,1066,7,3,1,0,1.6,69.2,0.5,2,6.96
Rodrigo,Leeds,31,Premier League,MF,12,895,9,1,1,0,3,72.6,1.2,1,6.96
Alex Berenguer,Athletic Bilbao,27,La Liga,DF,12,1032,3,1,0,0,2,74.2,1.4,0,6.96
Vinicius Souza,Espanyol,23,La Liga,MF,14,1194,0,0,4,0,0.3,81.9,2.6,1,6.96
Giovanni Di Lorenzo,Napoli,29,Serie A,DF,15,1339,0,2,1,0,0.8,88.5,0.8,0,6.96
Iñaki Williams,Athletic Bilbao,28,La Liga,MF,14,1149,5,1,0,0,2.4,70.5,0.8,1,6.96
Declan Rice,West Ham,23,Premier League,DF,15,1350,1,2,2,0,1.2,90.4,1,1,6.96
Fikayo Tomori,AC Milan,24,Serie A,DF,14,1284,1,0,1,0,0.3,88.5,2.1,2,6.96
Rony Lopes,Troyes,26,Ligue 1,MF,9,644,2,4,2,0,2.1,81.1,0.5,0,6.95
Rodrigo Becão,Udinese,26,Serie A,DF,9,783,1,1,5,0,0.6,79.5,2.1,0,6.95
Nico Williams,Athletic Bilbao,20,La Liga,MF,13,1076,3,3,0,0,1.7,79.1,0.4,2,6.95
Ozan Kabak,Hoffenheim,22,Bundesliga,DF,14,1257,2,2,4,1,1.1,85.4,3.5,1,6.95
João Palhinha,Fulham,27,Premier League,MF,14,1253,2,0,5,0,1.1,83,2.1,1,6.95
Azor Matusiwa,Reims,24,Ligue 1,MF,9,785,0,0,1,0,0.3,81.7,1.4,0,6.95
Jeremías Ledesma,Cadiz,29,La Liga,GK,14,1260,0,0,0,0,0,48.1,0,2,6.95
Nuno Tavares,Marseille,22,Ligue 1,DF,11,1102,3,0,4,0,2,80.3,0.5,1,6.95
Alexander Sørloth,Real Sociedad,27,La Liga,MF,10,825,4,1,1,0,2.4,69.4,1.7,1,6.95
Rafael Ratão,Toulouse,27,Ligue 1,MF,10,717,3,0,1,0,0.9,73.5,0.5,0,6.95
Jordi Alba,Barcelona,33,La Liga,DF,7,683,0,1,2,0,0.5,87.9,0.3,0,6.95
Luka Modric,Real Madrid,37,La Liga,MF,11,934,3,2,3,0,1.4,90.7,0.5,0,6.95
Edin Dzeko,Inter,36,Serie A,FW,10,937,6,2,1,0,2.4,72.9,1.6,3,6.94
Sofiane Boufal,Angers,29,Ligue 1,MF,8,720,3,3,1,1,2,80.2,0.1,2,6.94
Stefano Sensi,Monza,27,Serie A,MF,12,942,2,0,4,0,1,88.9,0.5,1,6.94
Federico Fazio,Salernitana,35,Serie A,DF,9,810,1,0,2,1,1.1,78.9,3.4,2,6.94
Maxime Dupé,Toulouse,29,Ligue 1,GK,15,1350,0,0,0,0,0,73.5,0.1,1,6.94
Jordan Siebatcheu,Union Berlin,26,Bundesliga,FW,12,852,3,3,1,0,1.6,51.9,4.4,2,6.94
Wissam Ben Yedder,Monaco,32,Ligue 1,MF,11,814,6,2,1,0,1.7,79.8,0.3,1,6.94
Marcus Tavernier,Bournemouth,23,Premier League,MF,15,1289,2,4,1,0,1.7,76.5,0.8,2,6.94
Ritsu Doan,Freiburg,24,Bundesliga,MF,13,1079,2,2,2,0,1.7,74,0.1,0,6.94
Álvaro Morata,Atletico,30,La Liga,MF,12,853,5,1,3,0,2.1,61.9,2.2,1,6.94
Stanislav Lobotka,Napoli,28,Serie A,MF,13,1217,1,1,1,0,0.2,94,0.4,0,6.93
Ludovic Blas,Nantes,24,Ligue 1,MF,12,1142,2,1,2,0,3,85.1,0.5,1,6.93
Malo Gusto,Lyon,19,Ligue 1,DF,14,1218,0,1,1,0,0.4,85.2,0.4,0,6.93
Jonas Hector,FC Koln,32,Bundesliga,DF,13,1160,0,1,0,0,0.8,78.7,1.8,0,6.93
Karl Toko-Ekambi,Lyon,30,Ligue 1,MF,11,1029,4,1,1,0,1.9,84.4,0.9,2,6.93
Giacomo Bonaventura,Fiorentina,33,Serie A,MF,11,933,3,0,3,0,2.3,86.4,0.7,2,6.93
Tetê,Lyon,22,Ligue 1,MF,11,879,5,2,2,0,1.9,82.1,0.2,2,6.93
Philip Billing,Bournemouth,26,Premier League,MF,13,1143,4,1,1,0,0.9,77,1.7,2,6.92
Jordi Masip,Real Valladolid,33,La Liga,GK,9,810,0,0,2,0,0,64.3,0.6,0,6.92
Guglielmo Vicario,Empoli,26,Serie A,GK,15,1350,0,0,1,0,0,66.8,0.4,0,6.92
Wojciech Szczesny,Juventus,32,Serie A,GK,9,763,0,0,0,0,0,67.1,0.1,0,6.92
Youssouf Fofana,Monaco,23,Ligue 1,MF,14,1166,1,0,1,1,1.1,81.7,0.7,0,6.92
Youcef Atal,Nice,26,Ligue 1,DF,7,623,1,0,1,0,0.8,83.5,0.5,1,6.92
Christoph Baumgartner,Hoffenheim,23,Bundesliga,MF,15,1157,4,2,3,0,2.6,72,1.3,1,6.92
Bremer,Juventus,25,Serie A,DF,13,1127,1,0,3,0,0.8,91,2.1,0,6.92
Filip Kostic,Juventus,30,Serie A,MF,13,1072,1,5,1,0,0.9,80.5,0.1,1,6.91
Raphinha,Barcelona,25,La Liga,MF,6,570,2,2,1,0,2,79.4,0.2,1,6.91
Joachim Andersen,Crystal Palace,26,Premier League,DF,13,1170,1,0,2,0,0.6,81,2.5,0,6.91
Pascal Groß,Brighton,31,Premier League,MF,14,1197,5,2,2,0,1.2,77.5,0.1,2,6.91
Cristiano Biraghi,Fiorentina,30,Serie A,DF,13,1143,0,2,0,0,0.9,78.3,0.6,0,6.91
Éder Militão,Real Madrid,24,La Liga,DF,10,912,3,0,1,0,0.7,88.3,1.8,1,6.91
Solly March,Brighton,28,Premier League,MF,14,1219,0,2,1,0,1.9,76.7,1.4,0,6.91
Moisés Caicedo,Brighton,21,Premier League,MF,14,1248,1,0,4,0,0.8,87.3,1.1,0,6.91
Rominigue Kouamé,Troyes,25,Ligue 1,MF,14,1238,0,1,3,0,1,88.3,0.5,1,6.91
Tomás Soucek,West Ham,27,Premier League,MF,15,1309,1,1,1,0,1.1,76.9,2.2,1,6.91
Mory Diaw,Clermont Foot,29,Ligue 1,GK,15,1350,0,0,0,0,0,62.3,0.2,2,6.9
Lucas Tousart,Hertha Berlin,25,Bundesliga,MF,14,1248,2,0,0,0,1.4,65.6,2.9,2,6.9
