name,team,age,position,apps,minutesPlayed,assistTotal,keyPassPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
Manu Koné,"Borussia M.Gladbach,",21,", DMC",14,1226,1,0.6,46.2,86.6,0,1,0,6.8
Rúben Dias,"Man City,",25,", D(C)",9(3),872,0,0.2,74.5,92.2,0,1.9,0,6.8
Nicolò Rovella,"Monza,",21,", DMC",9(1),804,0,1.4,65.1,89.2,0.5,5.6,0,6.8
Marcus Rashford,"Man Utd,",25,", AM(CLR),FW",13(1),1130,2,0.7,21.7,75.7,0.3,0.9,0.1,6.8
William Carvalho,"Real Betis,",30,", DMC",12(1),931,0,0.3,49.5,86.2,0.1,1.8,0.2,6.8
Neco Williams,"Nottingham Forest,",21,", D(LR),M(LR)",12(3),1078,0,0.7,26.8,68.7,0.9,1.7,0.1,6.8
Boulaye Dia,"Salernitana,",26,", AM(R),FW",10(4),961,2,0.9,14.7,77.7,0.1,0.4,0.1,6.8
Folarin Balogun,"Reims,",21,", FW",12(3),1080,1,0.7,12.5,66,0.1,0.1,0.1,6.8
Andrew Robertson,"Liverpool,",28,", D(L),M(L)",10(2),864,4,2,52.2,83.2,2.3,1.3,0,6.79
Gédéon Kalulu,"Lorient,",25,", D(R)",12,1080,3,0.9,39.2,79.8,0.3,1.6,0,6.79
Marshall Munetsi,"Reims,",26,", D(C),DMC",10(2),905,0,0.8,24.4,72.7,0.1,1.1,0,6.79
Kalidou Koulibaly,"Chelsea,",31,", D(C)",8(1),744,0,0.2,67.6,85.2,0,4,0,6.79
Eray Cömert,"Valencia,",24,", D(C)",10(1),872,0,0.2,50,87.8,0,3.6,0,6.79
Kenny Tete,"Fulham,",27,", D(CR),M(R)",8(1),710,3,0.6,29.3,73.9,0.4,1.1,0,6.79
Aaron Cresswell,"West Ham,",32,", D(CL),M(L)",14,1242,0,2.1,48.2,81.3,1.9,2.7,0.1,6.79
Michael Olise,"Crystal Palace,",20,", AM(CLR)",8(5),754,2,1.5,25.7,78.7,1.1,0.8,0,6.79
Stijn Spierings,"Toulouse,",26,", M(C)",15,1350,0,0.7,57.7,84.9,0.1,4.2,0,6.78
José Giménez,"Atletico,",27,", D(CR)",8(1),734,0,0,40.3,87.3,0,3.1,0,6.78
Lisandro Martínez,"Man Utd,",24,", D(CL),DMC",14,1206,0,0.1,57.6,86.4,0,2.2,0.1,6.78
Virgil van Dijk,"Liverpool,",31,", D(C)",14,1260,0,0.1,81.1,88.8,0,4.6,0,6.78
Laurent Abergel,"Lorient,",29,", DMC",10,810,1,0.7,37.5,90.4,0,1.3,0.3,6.78
Rui Silva,"Real Betis,",28,", GK",12,1080,0,0,29.1,65.6,0,7.4,0,6.78
Stefan de Vrij,"Inter,",30,", D(C)",11(1),995,0,0,47.8,88,0,1.4,0,6.78
Anthony Rouault,"Toulouse,",21,", D(C)",15,1343,0,0.2,51.7,87.9,0,3.5,0,6.78
Che Adams,"Southampton,",26,", AM(CL),FW",12(2),1067,1,1.1,17.6,70.7,0.1,1.1,0.1,6.78
Ellyes Skhiri,"FC Koln,",27,", DMC",14,1260,0,1.1,51.6,89.1,0.1,2.5,0,6.78
Lukasz Fabianski,"West Ham,",37,", GK",15,1245,0,0,21.3,64.9,0,5.5,0,6.78
Fernando Martínez,"Almeria,",32,", GK",13,1170,0,0,30.8,67.5,0,5.1,0,6.78
Mouctar Diakhaby,"Valencia,",25,", D(C)",10,794,0,0.2,44.2,84.4,0,5.1,0,6.78
Harvey Barnes,"Leicester,",24,", AM(CL)",13,1091,0,0.5,23.1,75.3,0,0.4,0.1,6.78
Eric García,"Barcelona,",21,", D(C)",8(1),610,0,0,55.3,91.4,0,3.4,0,6.78
Salis Abdul Samed,"Lens,",22,", DMC",15,1350,0,0.6,59.9,92.3,0.1,1.6,0.1,6.78
Florian Niederlechner,"Augsburg,",32,", AM(CR),FW",10(4),912,1,0.4,13.7,60.4,0,0.1,0,6.78
Oriol Romeu,"Girona,",31,", DMC",11,990,0,0.5,50.4,88.4,0.2,3.1,0,6.78
Hamari Traoré,"Rennes,",30,", D(R),M(R)",13(1),1183,1,0.6,56.9,87.8,0.7,2.1,0,6.77
Noussair Mazraoui,"Bayern,",25,", D(LR)",6(5),553,3,0.9,34.5,87.9,0.2,0.4,0.1,6.77
Leonardo Balerdi,"Marseille,",23,", D(C)",14(1),1203,1,0.1,47.1,85.4,0,3.5,0,6.77
Sergio Escudero,"Real Valladolid,",33,", D(L),M(L)",9,711,0,0.8,29.4,73.6,0.7,1.2,0,6.77
David García,"Osasuna,",28,", D(C)",12,1042,0,0.2,39.1,80.4,0,4,0,6.77
Loïs Openda,"Lens,",22,", FW",11(4),947,0,0.6,11.9,70.8,0.1,0.1,0.1,6.77
Stefan Savic,"Atletico,",31,", D(C)",10,886,0,0.1,51,87.8,0,3.4,0,6.77
Álex Moreno,"Real Betis,",29,", D(L),M(L)",13,1170,3,0.7,36.4,78.6,0.2,1.2,0,6.77
Pasquale Mazzocchi,"Salernitana,",27,", D(R),M(LR)",15,1208,2,1.7,27.7,80.3,1.1,1.5,0.1,6.77
Ben Davies,"Tottenham,",29,", D(CL),M(L)",11(1),995,1,0.9,53.2,86.7,0.3,2.8,0,6.77
Karim Onisiwo,"Mainz,",30,", AM(LR),FW",15,1309,1,1.4,20.5,61.9,0.5,0,0,6.76
Felix Nmecha,"Wolfsburg,",22,", M(C)",6(7),665,2,0.5,15,71.8,0,0.5,0.1,6.76
Marius Wolf,"Borussia Dortmund,",27,", D(R),M(CLR)",5(5),516,1,0.9,23.6,73.3,0.5,1.4,0,6.76
Andreas Pereira,"Fulham,",26,", M(CLR)",15,1251,4,2.3,25.1,68.1,2.3,1.6,0,6.76
Sergio Ramos,"PSG,",36,", D(CR)",12(1),1012,1,0.1,67.6,95.6,0.2,4.2,0,6.76
Jordan Veretout,"Marseille,",29,", M(C)",10(5),983,2,0.6,43.7,86.4,0.2,2.7,0.1,6.76
Eric Dier,"Tottenham,",28,", D(CR),DMC",14(1),1285,0,0.3,66.7,87.6,0.1,5.1,0,6.76
Dan Burn,"Newcastle,",30,", D(CL),M(L)",14(1),1227,0,0.3,36.8,79.9,0.1,1.7,0,6.76
Mohamed Simakan,"RBL,",22,", D(CR)",9(1),673,1,0.2,50.6,84.2,0.1,2.4,0.1,6.76
Gavi,"Barcelona,",18,", AM(CL)",9(5),803,1,1.2,29.7,90.6,0.2,1.1,0.1,6.76
Gregor Kobel,"Borussia Dortmund,",25,", GK",11,990,0,0,34.6,81.1,0,5.5,0,6.76
Gonzalo Plata,"Real Valladolid,",22,", AM(R)",6(4),594,2,1.1,19.5,79,0.1,0.2,0.1,6.75
Dante,"Nice,",39,", D(C)",14,1260,0,0.1,69.6,91.3,0,4.9,0,6.75
Denzel Dumfries,"Inter,",26,", D(R),M(R)",13(2),1085,2,1.1,20.9,78.3,0.5,0.7,0,6.75
Yunis Abdelhamid,"Reims,",35,", D(C)",15,1350,0,0.3,42.2,81.2,0,3,0,6.75
Vicente Guaita,"Crystal Palace,",35,", GK",14,1260,0,0,27.1,74.4,0,5.8,0,6.75
Johan Gastien,"Clermont Foot,",34,", DMC",14,1218,2,1,73.1,84.6,0.6,5.7,0,6.75
César Azpilicueta,"Chelsea,",33,", D(CLR),M(R)",7(4),672,0,0.8,39.8,83.1,0.3,0.3,0,6.75
Steve Mandanda,"Rennes,",37,", GK",13,1126,1,0.1,25.7,68,0,7.6,0,6.75
Lazar Samardzic,"Udinese,",20,", M(C)",4(10),523,1,1,17.1,87.4,0.5,2.1,0,6.75
Mario Lemina,"Nice,",29,", DMC",10(1),728,0,0.3,51.9,90.4,0,2,0,6.75
Alex Iwobi,"Everton,",26,", M(CLR)",15,1333,5,1.8,40,82,0.3,2.1,0.1,6.75
Dejan Ljubicic,"FC Koln,",25,", M(CR)",7(2),565,0,1.1,21,81,0.2,1.4,0.2,6.75
Jimmy Cabot,"Lens,",28,", M(LR)",5(6),508,1,1.5,23,83.4,1.2,1.2,0.1,6.75
Silas Mvumpa,"Stuttgart,",24,", M(LR),FW",13(1),1051,2,0.8,13.4,78.6,0.4,0.2,0,6.74
Ante Rebic,"AC Milan,",29,", AM(CLR),FW",4(6),429,2,0.8,13.3,60.9,0.2,0.5,0.2,6.74
James Justin,"Leicester,",24,", D(CLR),M(LR)",14,1254,0,0.5,48.7,81.5,0.5,1.9,0,6.74
Óscar Trejo,"Rayo Vallecano,",34,", M(CLR),FW",11(1),849,2,1.5,31,83.6,0.2,0.8,0.3,6.74
Azzedine Ounahi,"Angers,",22,", AM(CR)",13(1),1106,0,1.2,40.8,88.6,0.2,2.2,0.1,6.74
Facundo Medina,"Lens,",23,", D(CL)",14,1226,1,0.4,79.1,89.4,0.1,3,0.1,6.74
Ola Aina,"Torino,",26,", D(CLR),M(LR)",7(3),582,0,0.7,26.2,77.9,0.7,1,0,6.74
Alidu Seidu,"Clermont Foot,",22,", D(CR)",14,1215,0,0.4,43.5,90,0.4,1.6,0,6.74
Nemanja Gudelj,"Sevilla,",31,", D(C),M(C)",12,1036,0,0.2,44.3,91.9,0,1.3,0,6.74
Vanderson,"Monaco,",21,", D(R),M(R)",9(5),857,1,0.4,32,81.5,0.5,2.4,0,6.74
Cheick Oumar Doucouré,"Crystal Palace,",22,", DMC",12,970,1,0.8,40.3,87,0.1,1.8,0.1,6.74
Brice Samba,"Lens,",28,", GK",15,1350,0,0.1,29.7,72.6,0,6.3,0,6.74
Lewis Ferguson,"Bologna,",23,", M(C)",6(3),512,0,0.3,24.2,81.7,0.2,0.6,0.1,6.74
Martín Zubimendi,"Real Sociedad,",23,", DMC",13(1),1151,2,0.4,47.5,84.5,0,2.3,0.1,6.74
Emmanuel Agbadou,"Reims,",25,", D(C),DMC",11(1),970,0,0.2,40.1,84.4,0,3.4,0.3,6.74
Edu Expósito,"Espanyol,",26,", M(C)",10(3),781,2,1.1,22.4,77.3,0.4,1.2,0.1,6.74
Federico Baschirotto,"Lecce,",26,", D(C)",15,1350,0,0.1,36.5,75.7,0.1,3.6,0.1,6.73
Lars Stindl,"Borussia M.Gladbach,",34,", M(CLR),FW",8(3),685,5,1.5,23.7,78.2,0.5,0.5,0.2,6.73
Johann Lepenant,"Lyon,",20,", M(C)",9(3),833,0,0.3,49.7,88.4,0,2.6,0,6.73
Óscar Rodríguez,"Celta Vigo,",24,", AM(CLR)",12(1),1003,0,1.1,42.9,84.6,0.8,2.5,0,6.73
Farès Chaïbi,"Toulouse,",20,", Midfielder",9(4),835,4,1.1,20.5,74.5,0.2,0.7,0.2,6.73
Nicolás Domínguez,"Bologna,",24,", M(C)",11(2),971,1,1.1,35.1,81.1,0,1.8,0.3,6.73
Thierry Correia,"Valencia,",23,", D(R),M(R)",14,1214,0,0.6,49.4,80.5,1,2.9,0,6.73
Montassar Talbi,"Lorient,",24,", D(C)",15,1350,1,0.2,46.2,88.7,0,1.5,0,6.73
Bryan Mbeumo,"Brentford,",23,", AM(LR),FW",15,1134,1,1,18.1,73.4,0.8,0.7,0.1,6.73
Javi Galán,"Celta Vigo,",28,", D(L),M(L)",14,1256,1,1.3,43,81.6,0.8,1.8,0,6.73
Arkadiusz Milik,"Juventus,",28,", AM(C),FW",7(5),709,0,0.4,16.8,80.1,0,0.3,0.1,6.73
Mounaïm El Idrissy,"AC Ajaccio,",23,", FW",12(2),1065,0,0.4,17.4,73.8,0.1,0.3,0,6.73
Quentin Merlin,"Nantes,",20,", D(L),M(L)",13,1133,1,1.7,47.8,80.2,1.8,3.2,0,6.73
Philipp Lienhart,"Freiburg,",26,", D(C)",15,1348,0,0.1,62.7,86.6,0,4.6,0.1,6.73
Mohammed Salisu,"Southampton,",23,", D(CL)",14,1260,1,0.3,49.7,78.9,0.2,3.3,0.1,6.72
Nikola Vlasic,"Torino,",25,", AM(CLR),FW",14(1),1281,2,1.6,27.9,79.7,0.3,0.5,0,6.72
Takefusa Kubo,"Real Sociedad,",21,", AM(CLR),FW",10(2),850,2,1,22,78.4,0.6,0.3,0,6.72
Milos Veljkovic,"Werder Bremen,",27,", D(C),DMC",12,1036,0,0.1,47.8,81,0,5.3,0,6.72
Jonjoe Kenny,"Hertha Berlin,",25,", D(LR),M(R)",15,1350,1,0.7,39.1,75.6,0.5,2.9,0,6.72
Leonardo Sernicola,"Cremonese,",25,", M(R)",10(2),905,1,0.9,19.1,71.2,1.3,0.9,0,6.72
Santi Comesaña,"Rayo Vallecano,",26,", M(C)",8(4),734,0,1,29,84.2,0,1.3,0,6.72
Óscar Valentín,"Rayo Vallecano,",28,", DMC",11(3),961,0,0.7,33.6,84.5,0.1,2.3,0,6.72
Brian Oliván,"Espanyol,",28,", D(CL)",14,1212,3,1.3,28.8,71,1.3,2.5,0,6.72
Brenden Aaronson,"Leeds,",22,", AM(CLR)",14,1196,2,1.9,28.6,80,0.8,0.4,0.1,6.72
Vitinha,"PSG,",22,", M(C)",10(3),843,0,0.3,50.4,93.6,0,1.3,0,6.72
Samu Castillejo,"Valencia,",27,", AM(CLR)",8(2),618,0,1.2,22.3,86.5,0.6,0.9,0,6.72
Luke Shaw,"Man Utd,",27,", D(CL),M(L)",9(1),786,1,1.3,54,85,0.8,1.8,0,6.71
Flavien Tait,"Rennes,",29,", M(CLR)",12(3),1047,0,0.9,42,85.7,0.1,2.7,0.1,6.71
Habib Diallo,"Strasbourg,",27,", AM(R),FW",13(2),1132,0,0.5,17.4,70.5,0,0.3,0.1,6.71
Hugo Lloris,"Tottenham,",35,", GK",15,1350,0,0,25.1,77.5,0,4.7,0,6.71
Luca Pellegrini,"Eintracht Frankfurt,",23,", D(L),M(L)",7(2),559,0,0.9,32.6,72.7,0.9,2.4,0.1,6.71
Maxime Estève,"Montpellier,",20,", D(C)",8(4),808,0,0.1,28.1,79.8,0,1.5,0,6.71
Nico Elvedi,"Borussia M.Gladbach,",26,", D(CLR)",13,1126,0,0.3,64.2,92.4,0,2.2,0,6.71
Joe Gomez,"Liverpool,",25,", D(CLR)",9(3),885,0,0.1,69.7,85,0,4.2,0,6.71
Walace,"Udinese,",27,", DMC",15,1285,0,0.5,48.1,84.3,0.1,2.4,0,6.71
Óscar De Marcos,"Athletic Bilbao,",33,", D(LR),M(CR)",13(1),1079,3,1.3,41,80.7,1.4,1.7,0,6.71
Alejandro Catena,"Rayo Vallecano,",28,", D(C)",14,1260,1,0.2,55.1,82.9,0,7.4,0.1,6.71
Brahim Díaz,"AC Milan,",23,", AM(CLR)",10(3),664,1,1.2,17.1,78.4,0.1,0.4,0,6.71
Kaoru Mitoma,"Brighton,",25,", M(L)",2(7),311,1,1.1,15.9,81.8,0,0,0.1,6.71
Mattéo Guendouzi,"Marseille,",23,", M(C)",12(2),1054,2,0.7,42.4,86.2,0.1,2.3,0,6.71
Djibril Sow,"Eintracht Frankfurt,",25,", M(C)",13(2),1169,0,0.7,44.9,86.5,0.1,1.3,0,6.71
Marc Roca,"Leeds,",26,", DMC",14,1042,1,0.8,42.1,82.2,0.1,2.5,0,6.71
Antonio Raíllo,"Mallorca,",31,", D(C)",13,1170,0,0.2,36.3,86.4,0,2.6,0,6.71
Mathias Autret,"Auxerre,",31,", M(CLR)",11(2),869,2,1.2,26.6,82.1,1,3.6,0.1,6.71
Lucas Robertone,"Almeria,",25,", AM(C)",13(1),1026,1,1.1,27.6,83.4,1,1.5,0.1,6.71
Ivan Perisic,"Tottenham,",33,", M(CLR),FW",9(6),833,4,1.6,21,74.6,1.9,1,0,6.7
Kiernan Dewsbury-Hall,"Leicester,",24,", M(C)",14(1),1139,2,1.5,37.9,78.7,0.2,2,0.1,6.7
Danny Welbeck,"Brighton,",32,", AM(CLR),FW",11(2),998,2,1,14.4,82.9,0,0.1,0.1,6.7
Yeremy Pino,"Villarreal,",20,", AM(LR)",9(4),700,0,0.6,17.5,80.2,0.2,0.4,0,6.7
Christian Günter,"Freiburg,",29,", D(L),M(L)",15,1316,1,2,31.1,76.6,1.9,1.8,0,6.7
Santiago Bueno,"Girona,",24,", D(C)",14,1260,1,0.2,58,87.2,0.1,4.1,0,6.7
Rolando Mandragora,"Fiorentina,",25,", DMC",10(3),870,1,1,33.6,86.5,0.6,2.6,0.1,6.7
Kevin Stöger,"Bochum,",29,", M(CL)",13(1),1205,1,2.4,47.3,74.9,1.2,4.2,0.4,6.7
Amadou Onana,"Everton,",21,", DMC",12(2),1038,1,0.5,27.1,80.8,0,1,0.1,6.7
Julien Laporte,"Lorient,",29,", D(C)",15,1350,0,0.1,42.5,86.3,0,3.3,0,6.7
Aaron Ramsey,"Nice,",31,", M(CLR)",5(7),574,0,0.8,30.2,87.8,0.6,1.8,0,6.7
Elye Wahi,"Montpellier,",19,", AM(L),FW",14,1175,1,0.5,13.9,68,0,0.2,0,6.7
Nicolas Pallois,"Nantes,",35,", D(C)",14,1190,0,0.1,43.5,85.4,0,3.9,0,6.7
Xaver Schlager,"RBL,",25,", M(C)",9(2),829,0,0.4,47.7,86.1,0.1,3.5,0.1,6.7
Nordi Mukiele,"PSG,",25,", D(CR),M(R)",6(7),675,1,0.2,29.5,90.6,0,0.6,0,6.7
Marcel Sabitzer,"Bayern,",28,", M(CLR),FW",7(7),626,1,0.4,32.4,87.9,0,0.9,0,6.7
Mathias Jensen,"Brentford,",26,", M(C)",15,1138,3,1.5,33.9,77,1.4,3.3,0.1,6.7
Aaron Ramsdale,"Arsenal,",24,", GK",14,1260,0,0,24,63.1,0,4.5,0,6.7
Javi Sánchez,"Real Valladolid,",25,", D(C)",12,1007,0,0.1,39.1,85.7,0,3.3,0,6.7
Guillermo Maripán,"Monaco,",28,", D(C)",9(1),766,0,0.1,35.6,88.2,0,2.2,0,6.7
Patric,"Lazio,",29,", D(CR),M(R)",9,754,0,0,56.1,87.3,0,5.7,0,6.7
Saïd Benrahma,"West Ham,",27,", AM(CLR)",7(6),749,1,1.2,20.2,86.6,0.3,0.5,0,6.7
Jack Harrison,"Leeds,",26,", AM(CLR),FW",12(1),945,3,1.8,26,71.6,1,0.6,0.1,6.69
Kyle Walker-Peters,"Southampton,",25,", D(LR),M(R)",11,955,0,0.6,31.1,75.7,0.4,1.1,0,6.69
Daniel Amartey,"Leicester,",27,", D(CR),DMC",10(2),914,0,0.3,53.4,91.1,0,1.9,0.2,6.69
Íñigo Martínez,"Athletic Bilbao,",31,", D(C)",9,810,0,0.4,55.8,85.7,0,5.6,0,6.69
Marco Friedl,"Werder Bremen,",24,", D(CL),M(L)",14,1157,0,0.5,52.9,82.7,0.6,6.4,0,6.69
