name,team,age,position,apps,minutesPlayed,assistTotal,keyPassPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
Khéphren Thuram,"Nice,",21,", DMC",10(5),910,2,0.9,38.4,88.9,0.1,1.5,0,6.58
Marcel Halstenberg,"RBL,",31,", D(CL),M(L)",7(5),677,1,0.4,39.8,85.3,0.3,1.4,0,6.58
Aimar Oroz,"Osasuna,",21,", AM(C)",9(3),778,1,0.8,23.8,80.1,0,0.8,0,6.58
Niklas Süle,"Borussia Dortmund,",27,", D(CR)",9(3),787,1,0.5,50.6,88.6,0.1,3.3,0,6.58
Oumar Gonzalez,"AC Ajaccio,",24,", D(C)",11,948,0,0.1,35.4,84.3,0,1.5,0,6.58
Danny Ings,"Aston Villa,",30,", AM(C),FW",8(6),725,0,0.6,9.9,74.6,0,0,0.1,6.58
Marc Cucurella,"Chelsea,",24,", D(CL),M(L)",11(2),851,2,0.5,40.3,86.3,0.8,1.3,0,6.58
Antonio Sanabria,"Torino,",26,", FW",8(2),682,1,0.8,18.6,73.7,0,0.2,0,6.58
Íñigo Ruíz de Galarreta,"Mallorca,",29,", DMC",10(2),858,0,0.7,33.4,86.3,0.1,2.3,0.1,6.58
Daniel Carvajal,"Real Madrid,",30,", D(R)",10(2),877,1,0.6,40.8,87.1,0.3,2.7,0,6.58
Josh Doig,"Verona,",20,", D(CL),M(L)",5(4),498,1,0.7,12,69.4,0.4,0.4,0,6.57
Gabri Veiga,"Celta Vigo,",20,", M(C)",6(7),576,1,0.5,18.2,79.7,0.2,0.8,0,6.57
Douglas Luiz,"Aston Villa,",24,", M(C)",10(4),929,2,0.9,36.4,85.1,0.4,1.8,0.1,6.57
Gary Medel,"Bologna,",35,", D(C),DMC",14(1),1142,1,0.2,53.2,88.5,0,3.6,0.1,6.57
Marcos Acuña,"Sevilla,",31,", D(CL),M(CL)",7(3),554,0,1.2,28.6,77.3,1.7,2.8,0,6.57
Simon Terodde,"Schalke,",34,", FW",13(2),1058,0,0.7,12.5,67.6,0,0.3,0.1,6.57
Ruslan Malinovskyi,"Atalanta,",29,", M(CR),FW",5(9),539,2,0.9,20.9,79.5,0.5,1.8,0.1,6.57
José Sá,"Wolves,",29,", GK",15,1350,0,0,28.5,69.9,0,3.9,0,6.57
Dean Henderson,"Nottingham Forest,",25,", GK",15,1350,0,0,32.8,57.5,0,6.3,0,6.57
Rico Henry,"Brentford,",25,", D(L),M(L)",15,1347,1,0.5,24.9,75.6,0.4,0.9,0.1,6.57
João Moutinho,"Wolves,",36,", M(C)",11(2),1000,0,1.5,46.5,85.8,0.8,2.6,0,6.57
David Raum,"RBL,",24,", D(L),M(LR)",12(2),1035,1,1.1,33.6,80.6,1.2,1.1,0.1,6.57
Martin Erlic,"Sassuolo,",24,", D(C)",10,869,0,0,41,88.8,0,4.6,0,6.57
Isco,"Sevilla,",30,", M(CLR),FW",10(2),803,2,1.4,32.8,86.8,0.3,1.3,0.1,6.57
Paul Jaeckel,"Union Berlin,",24,", D(C),DMC",8(3),798,0,0,35.7,79.9,0,1.9,0,6.57
Robin Le Normand,"Real Sociedad,",26,", D(C)",9(2),815,0,0.2,44,92.8,0,3.7,0,6.57
Marc Guéhi,"Crystal Palace,",22,", D(C)",14,1260,0,0.1,64.7,89,0,4.2,0,6.57
Jacob Ramsey,"Aston Villa,",21,", AM(C)",12(3),1026,2,0.8,26.8,84.6,0,0.7,0,6.57
Vincent Marchetti,"AC Ajaccio,",25,", M(C)",14(1),1206,1,0.5,37.4,82,0,3,0.1,6.56
Chidera Ejuke,"Hertha Berlin,",24,", AM(CLR),FW",9(6),791,3,0.5,16.5,82.7,0.1,0.7,0.1,6.56
Maxime Lopez,"Sassuolo,",25,", M(CR)",12(1),1081,0,1.2,55.1,88.7,0.2,3.7,0.1,6.56
Thibaut Courtois,"Real Madrid,",30,", GK",10,900,0,0.1,28.1,82.2,0,4.3,0,6.56
Norbert Gyömbér,"Salernitana,",30,", D(CR),DMC",10(1),736,0,0.1,31.5,87,0,2.2,0,6.56
Marco Richter,"Hertha Berlin,",25,", AM(CLR),FW",5(7),526,2,0.3,10.9,68.7,0.2,0.3,0,6.56
Kamaldeen Sulemana,"Rennes,",20,", AM(L)",2(8),258,0,0.5,10.7,86,0.3,0.4,0,6.56
Niko Gießelmann,"Union Berlin,",31,", D(CL),M(L)",7(4),653,2,1.3,22.1,74.9,1.3,1,0,6.56
Callum Hudson-Odoi,"Leverkusen,",22,", M(CLR)",5(4),480,1,1.3,20.1,89,0.4,1,0.1,6.56
Jarrod Bowen,"West Ham,",25,", AM(CLR),FW",15,1343,0,1.3,20.8,74,0.7,1.1,0,6.56
Donyell Malen,"Borussia Dortmund,",23,", AM(L),FW",9(1),679,1,1.3,19.9,77.9,1.2,0.4,0,6.56
Micky van de Ven,"Wolfsburg,",21,", D(C)",15,1350,0,0.1,50,88.4,0.1,3.1,0,6.56
Abdelhamid Sabiri,"Sampdoria,",26,", AM(CL),FW",10(1),844,0,1,29.7,73.1,0.7,1.9,0.2,6.56
Stéphane Diarra,"Lorient,",23,", AM(R)",8(6),620,0,0.2,11.3,70.3,0.1,0.1,0,6.56
Melvin Bard,"Nice,",22,", D(L)",10(3),927,0,0.1,34.5,83.1,0.2,1,0,6.56
Antonee Robinson,"Fulham,",25,", D(L),M(L)",13,1109,0,0.5,36.8,75.1,0.8,1.6,0,6.56
Lewis Cook,"Bournemouth,",25,", M(CL)",13(2),1193,2,1.3,32.4,80.9,0.9,1.1,0,6.56
David Silva,"Real Sociedad,",36,", M(CLR),FW",11(1),827,0,0.9,37.9,86.6,0.3,1.4,0.2,6.56
Andrea Cambiaso,"Bologna,",22,", D(R),M(L)",11(2),911,2,0.9,31.9,78.6,0.5,1.2,0,6.56
Birama Touré,"Auxerre,",30,", DMC",15,1336,0,0.1,42.6,84.5,0,3.9,0,6.56
Andrej Kramaric,"Hoffenheim,",31,", AM(CLR),FW",11(3),1031,2,1.1,28.7,80.3,0.3,1.3,0,6.56
Cengiz Ünder,"Marseille,",25,", AM(CLR)",6(8),554,1,0.7,14.9,75,0.7,0.9,0.1,6.56
Joe Rodon,"Rennes,",25,", D(C)",9,808,0,0,67,89.2,0,1.9,0,6.55
Monchu,"Real Valladolid,",23,", DMC",8(5),657,1,0.6,22.4,81.4,1,2.2,0.1,6.55
Jorginho,"Chelsea,",30,", DMC",11(2),906,0,0.3,46.8,84.6,0,1.6,0,6.55
John McGinn,"Aston Villa,",28,", M(C)",12(3),1059,0,0.3,29.8,79.6,0.3,2.3,0,6.55
Igor Zubeldia,"Real Sociedad,",25,", D(C),DMC",8(2),719,0,0.1,40.7,87.2,0.2,2.4,0,6.55
Santiago Ascacíbar,"Cremonese,",25,", DMC",7(5),701,0,0.7,33.8,82.2,0.3,1.9,0,6.55
Dani Rodríguez,"Mallorca,",34,", AM(CLR)",8(5),694,2,0.9,16.6,82.4,0.2,1.2,0.2,6.55
Jonathan Ikoné,"Fiorentina,",24,", AM(CLR),FW",9(5),835,2,0.9,17.5,84.9,0,1,0,6.55
Maximilian Kilman,"Wolves,",25,", D(C)",15,1350,0,0,59.1,83.4,0,2.9,0,6.55
Juan Musso,"Atalanta,",28,", GK",10,818,0,0.1,24.2,66.9,0,7.2,0,6.55
Joel Ward,"Crystal Palace,",33,", D(CLR),DMC,M(R)",11(1),1021,0,0.2,37.7,76.1,0,1.4,0,6.55
Pierre Kalulu,"AC Milan,",22,", D(CR)",10(5),1038,0,0.2,41.1,89.1,0.1,2.6,0.1,6.55
Tiago Tomás,"Stuttgart,",20,", AM(CR),FW",9(4),726,2,0.8,12,60.9,0.5,0.2,0.2,6.55
Rayan Cherki,"Lyon,",19,", AM(R)",1(11),215,3,0.8,12.6,81.5,0.8,0.5,0,6.55
Joris Chotard,"Montpellier,",21,", DMC",11(2),956,1,0.8,32.3,82.6,0.1,2.2,0.2,6.55
Moise Kean,"Juventus,",22,", AM(LR),FW",6(7),487,0,0.3,7.3,75.8,0.1,0,0.1,6.55
Julian Weigl,"Borussia M.Gladbach,",27,", D(C),DMC",10(1),903,0,0.2,48.3,88.1,0,1.9,0.2,6.55
Anthony Lopes,"Lyon,",32,", GK",12,1017,0,0,23.5,78,0,3.8,0,6.55
Jonny,"Wolves,",28,", D(CLR),M(LR)",11(1),982,0,0.2,47.3,85.4,0.3,1.8,0.1,6.55
José Fonte,"Lille,",38,", D(C)",14,1260,0,0.2,62.9,89.7,0,3.9,0,6.55
Pathé Ciss,"Rayo Vallecano,",28,", DMC",6(7),638,0,0.2,27.2,85.8,0,2.2,0,6.55
Unai García,"Osasuna,",30,", D(C)",13,1119,1,0.2,39.1,79.5,0.1,3.9,0,6.55
Moussa Djenepo,"Southampton,",24,", M(LR)",5(5),524,1,0.4,17.1,77.2,0.3,0.5,0,6.55
Pervis Estupiñán,"Brighton,",24,", D(L)",8(3),635,0,1.2,29.5,81.2,0.8,0.7,0,6.55
Amos Pieper,"Werder Bremen,",24,", D(C)",13(1),1104,1,0.1,45.4,78.3,0.1,3.4,0,6.54
Jordan Lotomba,"Nice,",24,", D(LR),M(R)",10(4),934,0,0.6,30.8,84.7,0.5,0.4,0.1,6.54
Rodrigo Ely,"Almeria,",29,", D(C)",14,1235,0,0.1,41.4,83.2,0,2.9,0,6.54
Iván Balliu,"Rayo Vallecano,",30,", D(R),M(R)",14,1260,0,1.1,43.6,82,0.7,1.9,0,6.54
Sandi Lovric,"Udinese,",24,", AM(C)",9(5),770,1,0.9,23.1,83.3,0.1,1.5,0.1,6.54
Christopher Trimmel,"Union Berlin,",35,", D(CR),M(R)",10(3),927,2,1,24.5,64.9,1,1.3,0,6.54
Maxime Le Marchand,"Strasbourg,",33,", D(CL)",12(1),971,0,0.2,47.1,81,0.3,3.3,0,6.54
Danny Ward,"Leicester,",29,", GK",15,1350,0,0,31.1,70.2,0,4,0,6.54
Óscar Gil,"Espanyol,",24,", D(R)",10(1),870,1,0.6,24.9,80.3,0.5,1.1,0.1,6.54
David Alaba,"Real Madrid,",30,", D(CL),M(CL)",13(1),1167,3,0.9,49.4,90.2,0.2,0.9,0.1,6.54
Naouirou Ahamada,"Stuttgart,",20,", M(C)",15,1241,0,0.7,29.7,85.4,0.1,0.5,0,6.54
Noah Fadiga,"Brest,",23,", D(R)",9,655,0,0.1,30.8,82.3,0.3,1.1,0,6.54
Amine Harit,"Marseille,",25,", AM(CLR),FW",6(4),515,0,1.5,25,84.4,0.5,0.6,0.2,6.54
Aitor Ruibal,"Real Betis,",26,", D(R),M(LR)",5(8),558,0,0.5,18.8,77.6,0.2,1.2,0,6.54
Tyrone Mings,"Aston Villa,",29,", D(CL)",13,1170,0,0.2,45.2,83,0.1,3,0,6.54
David de Gea,"Man Utd,",32,", GK",14,1260,0,0.1,27.4,65.5,0,4.9,0,6.54
Ronaël Pierre-Gabriel,"Strasbourg,",24,", D(CLR),M(R)",7(6),636,1,0.3,20.7,79.9,0.3,0.5,0,6.54
Conor Coady,"Everton,",29,", D(CR),DMC",14,1251,1,0.3,50.9,85.3,0.1,4.9,0.1,6.54
Yassine Bounou,"Sevilla,",31,", GK",13,1037,0,0,29.2,69.4,0,5.4,0,6.54
Scott McTominay,"Man Utd,",25,", D(C),DMC",6(6),637,0,0.3,19.3,82.3,0,0.9,0.1,6.54
Julián Álvarez,"Man City,",22,", AM(R),FW",3(9),358,0,0.4,9.5,86.8,0.1,0.4,0.1,6.54
Alessandro Bastoni,"Inter,",23,", D(C)",9(2),732,1,0.5,49.8,87.8,0.2,4.1,0,6.54
Omar Marmoush,"Wolfsburg,",23,", AM(L),FW",8(7),689,0,0.3,13.2,64.6,0.1,0.4,0,6.54
Kiliann Sildillia,"Freiburg,",20,", D(R)",13(1),1160,2,0.4,37.3,75.1,0.3,1.4,0,6.54
Colin Dagba,"Strasbourg,",24,", D(R),M(R)",6(3),465,0,0.9,22.3,85.1,0.7,0.3,0,6.54
Rodrigo De Paul,"Atletico,",28,", AM(CLR),FW",9(3),674,1,1.3,35.4,84,0.6,3.4,0.1,6.54
Jonathan Tah,"Leverkusen,",26,", D(C)",14(1),1221,0,0.3,52.5,89.3,0,1.7,0,6.54
Matías Vecino,"Lazio,",31,", M(C)",9(5),814,0,0.2,29.9,84.5,0,1,0,6.54
Lilian Brassier,"Brest,",23,", D(CL)",14,1202,0,0.4,43,79.2,0.5,3.6,0.1,6.54
Matteo Darmian,"Inter,",33,", D(CLR),M(LR)",6(4),502,2,1.1,20.5,78,0.4,1,0,6.54
Jeffrey Schlupp,"Crystal Palace,",29,", D(L),M(CLR)",12(2),1096,0,0.4,31.1,80,0,0.9,0,6.54
Kristijan Jakic,"Eintracht Frankfurt,",25,", D(CR),DMC",12(2),1011,0,0.4,40.4,77.2,0.1,1.4,0.1,6.53
Lucas Chevalier,"Lille,",21,", GK",9,810,0,0,25.2,60.4,0,3.7,0,6.53
Maxime Gonalons,"Clermont Foot,",33,", D(C),M(C)",8(1),534,0,0,33.6,89.1,0,2,0,6.53
Mohamed Youssouf,"AC Ajaccio,",34,", D(R)",9(2),844,0,0.8,34.5,75.5,1,1.7,0,6.53
Conor Gallagher,"Chelsea,",22,", AM(C)",7(5),501,1,0.8,21,81.3,0.6,0.3,0,6.53
Serhou Guirassy,"Stuttgart,",26,", AM(L),FW",9(1),780,0,0.9,20.6,66.5,0,0.4,0,6.53
Marvin Friedrich,"Borussia M.Gladbach,",26,", D(C)",10(4),961,0,0.3,52.2,85.8,0,2.1,0,6.53
Lovro Majer,"Rennes,",24,", AM(CR)",6(7),566,2,1.1,23.9,84.6,0.5,1,0,6.53
Davinson Sánchez,"Tottenham,",26,", D(C)",6(4),530,0,0.1,36.1,88.1,0.1,0.6,0,6.53
Julien Ponceau,"Lorient,",22,", AM(C)",9(3),773,2,1.2,30.3,83.8,0,1.1,0.1,6.53
Ruben Loftus-Cheek,"Chelsea,",26,", M(CLR)",12(2),958,0,0.5,36.8,86.4,0.1,1.1,0.1,6.53
Ryan Yates,"Nottingham Forest,",25,", DMC",11(2),1034,1,0.2,27.5,80.7,0,1.3,0,6.53
Josh Dasilva,"Brentford,",24,", M(C)",7(8),687,1,0.3,20.7,83.2,0.2,0.7,0.1,6.53
Luis Muriel,"Atalanta,",31,", AM(CL),FW",6(3),524,2,1.4,18.9,67.6,0.6,1.3,0.2,6.53
Salih Özcan,"Borussia Dortmund,",24,", M(C)",11(1),889,1,0.4,47.8,87.8,0.1,2.8,0,6.53
Krzysztof Piatek,"Salernitana,",27,", FW",8(3),679,1,0.6,14.8,78.5,0.1,0.5,0,6.53
Jordan Ferri,"Montpellier,",30,", M(C)",13,1088,2,0.8,56.5,86,0.3,4.7,0.2,6.53
Joan Gonzàlez,"Lecce,",20,", M(C)",13(2),1118,2,0.7,22.2,77.8,0.1,0.9,0.1,6.53
Kamory Doumbia,"Reims,",19,", AM(C)",9(5),716,1,0.7,20.3,81,0,0.6,0,6.53
Kiko Femenía,"Villarreal,",31,", D(LR),M(R)",9(2),850,0,0.6,40.6,88.1,0.4,1,0,6.53
Luis Sinisterra,"Leeds,",23,", AM(LR),FW",6(3),456,0,0.4,21,84.1,0.1,0.6,0.1,6.52
Sergio Canales,"Real Betis,",31,", M(CLR)",9(2),860,0,2,41.9,81.8,1.4,2.4,0.2,6.52
Luca Caldirola,"Monza,",31,", D(CL)",10(1),895,0,0.3,54.1,90.3,0,2.6,0,6.52
Emiliano Buendía,"Aston Villa,",25,", M(CLR)",7(8),727,0,0.9,23.2,81.3,0.1,1.6,0.1,6.52
Jordan Henderson,"Liverpool,",32,", D(C),M(CLR)",7(5),647,0,0.9,43.4,82.7,0.2,2.8,0.3,6.52
Philipp Förster,"Bochum,",27,", M(CLR),FW",8(4),655,2,0.8,18.6,79.8,0.7,0.9,0,6.52
Tomás Rincón,"Sampdoria,",34,", M(CR)",13(1),1092,2,0.9,38.1,82.2,0.3,1.9,0.1,6.52
Andrea Colpani,"Monza,",23,", Midfielder",3(7),336,0,0.4,14.2,87.3,0,0.5,0.1,6.52
Renato Sanches,"PSG,",25,", M(CR)",2(8),316,0,0.4,27.8,93.5,0.1,1.5,0,6.52
Antonino Gallo,"Lecce,",22,", D(L)",10(2),914,1,1.2,30.1,71.2,0.8,2.6,0,6.52
Adrien Hunou,"Angers,",28,", AM(CLR),FW",14,1096,1,0.6,23.6,75.2,0.1,0.5,0.1,6.52
Eduardo Camavinga,"Real Madrid,",20,", DMC",5(9),506,0,0.5,24.5,91.5,0.1,0.8,0.1,6.52
Marco Bizot,"Brest,",31,", GK",14,1260,0,0,22.4,67.1,0,4.9,0,6.52
Jens Cajuste,"Reims,",23,", DMC",5(5),525,1,0.6,20.8,80.8,0,0.9,0.1,6.52
Richarlison,"Tottenham,",25,", AM(CLR),FW",5(5),438,2,0.9,13,75.4,0.3,0.6,0.2,6.52
Christoph Kramer,"Borussia M.Gladbach,",31,", M(C)",14,1187,0,0.6,46.2,83.5,0.1,0.7,0,6.52
Carles Aleñá,"Getafe,",24,", AM(CLR)",13,1030,2,0.5,32.4,80.3,0.2,2,0.1,6.52
Leonardo Bittencourt,"Werder Bremen,",28,", M(CLR),FW",8(2),578,0,0.4,25.4,76.4,0.1,1,0,6.52
Anthony Losilla,"Bochum,",36,", D(C),DMC",15,1330,0,0.3,33.1,71.2,0.1,1.3,0,6.52
Jefferson Lerma,"Bournemouth,",28,", D(R),DMC",15,1350,0,0.3,43.3,82.6,0,1.3,0.1,6.52
Ignatius Ganago,"Nantes,",23,", AM(LR),FW",5(5),508,2,0.3,9.7,70.1,0.1,0.3,0,6.52
Joël Veltman,"Brighton,",30,", D(CR),M(R)",11(2),950,0,0.2,43.3,83.8,0.2,1.8,0.1,6.52
Ryan Christie,"Bournemouth,",27,", AM(CLR),FW",9(4),722,0,0.5,17.1,83.8,0.1,0.4,0,6.52
Edmond Tapsoba,"Leverkusen,",23,", D(C)",15,1314,0,0.2,66.3,86.4,0,4.5,0.1,6.52
Cédric Brunner,"Schalke,",28,", D(CR)",12,1020,0,0.6,31.2,73.5,0.8,1.8,0,6.52
Assan Ceesay,"Lecce,",28,", FW",10(5),892,0,0.1,11.4,60.2,0.1,0.3,0,6.52
Manu Sánchez,"Osasuna,",22,", D(L)",4(6),466,1,0.3,16.3,83.4,0.6,0.6,0,6.52
Samuel Gigot,"Marseille,",29,", D(C)",9(1),721,0,0.1,41.3,86.9,0,1.3,0,6.51
Marcus Ingvartsen,"Mainz,",26,", AM(CR),FW",6(3),460,0,0.2,12.3,64,0,0.2,0,6.51
Ben Chilwell,"Chelsea,",25,", D(L),M(L)",4(5),418,1,0.1,27.2,82,0.2,0.6,0,6.51
Ryan Sessegnon,"Tottenham,",22,", D(L),M(LR)",8(4),663,0,0.4,20,72.5,0.3,0.4,0.1,6.51
Elbasan Rashani,"Clermont Foot,",29,", AM(LR)",9(4),769,1,0.5,18.8,79.5,0.1,0.2,0,6.51
Joe Scally,"Borussia M.Gladbach,",19,", D(R),M(R)",15,1305,0,0.5,35,77.1,0.5,1.3,0,6.51
Valentin Gendrey,"Lecce,",22,", D(R)",13(2),1182,0,0.5,28.1,75.1,0.1,0.7,0,6.51
Yangel Herrera,"Girona,",24,", M(C)",9(2),634,2,0.7,22.8,81.3,0.3,0.9,0.1,6.51
Charles De Ketelaere,"AC Milan,",21,", M(CLR),FW",5(8),576,1,1.2,13.5,76.1,0,0.3,0.2,6.51
Francesco Acerbi,"Inter,",34,", D(C)",7(2),658,1,0.2,53.9,88.7,0,3.9,0,6.51
Rogerio,"Sassuolo,",24,", D(L),M(L)",13(1),1154,2,0.6,47.4,83.6,0.9,4.1,0,6.51
Ivan Ordets,"Bochum,",30,", D(C)",12(2),1037,0,0.1,31,73.7,0,2,0,6.51
Giacomo Raspadori,"Napoli,",22,", AM(CL),FW",7(3),517,0,0.7,24.2,79.3,0.2,0.9,0,6.51
Dylan Bronn,"Salernitana,",27,", D(C)",11(4),978,0,0.3,39.5,84.7,0.1,2.3,0,6.51
Vanja Milinkovic-Savic,"Torino,",25,", GK",15,1350,0,0,40.3,54.5,0,8.1,0,6.51
Alessandro Buongiorno,"Torino,",23,", D(C)",10(2),908,0,0.2,36.8,81,0.1,1.1,0,6.51
Danilo Soares,"Bochum,",31,", D(L),M(L)",10,827,0,0.3,34.6,72.8,0,2.4,0,6.51
Jan Oblak,"Atletico,",29,", GK",12,1053,0,0,22.3,57.5,0,3.6,0,6.51
Aaron Hickey,"Brentford,",20,", D(LR),M(LR)",8(1),684,0,0.1,27.7,83.1,0.1,0.6,0,6.51
Yohann Magnin,"Clermont Foot,",25,", DMC",10(5),939,0,0.5,33.7,85,0.1,2.1,0.1,6.51
Sergio León,"Real Valladolid,",33,", FW",7(6),627,1,0.5,6.5,67.9,0.1,0.4,0,6.51
Evann Guessand,"Nantes,",21,", AM(R),FW",8(6),635,2,0.6,10.4,79.5,0.1,0.4,0,6.51
Pere Milla,"Elche,",30,", AM(CL),FW",8(5),806,1,0.7,22.2,76.1,0.1,1,0.2,6.5
Kevin Behrens,"Union Berlin,",31,", FW",3(12),442,1,0.4,10.1,63.6,0,0.1,0,6.5
Édouard Mendy,"Chelsea,",30,", GK",8(1),765,0,0,25.1,75.7,0,4.7,0,6.5
Giorgio Scalvini,"Atalanta,",18,", D(C)",8(3),648,0,0.1,29.5,74.4,0.2,2.6,0,6.5
Luka Lochoshvili,"Cremonese,",24,", D(C)",12,971,1,0.3,35.6,80.8,0.1,1.1,0,6.5
Joseph Aidoo,"Celta Vigo,",27,", D(C)",14,1260,0,0.1,52.1,85.5,0,2.4,0,6.5
Jean-Clair Todibo,"Nice,",22,", D(C)",13,1073,0,0.1,60.5,89.1,0,3,0,6.5
José Ángel Carmona,"Sevilla,",20,", D(C)",4(5),443,1,0.2,25.7,84,0.3,0.7,0,6.5
Mohamed Elyounoussi,"Southampton,",28,", AM(CLR),FW",12(2),988,1,0.6,19.7,69.2,0.4,0.7,0.2,6.5
Kieffer Moore,"Bournemouth,",30,", FW",8(7),750,0,0.3,14.9,60.3,0.1,0.1,0,6.5
Marco Asensio,"Real Madrid,",26,", AM(CLR),FW",1(8),179,2,0.8,9.6,96.5,0.3,0.4,0.1,6.5
Patrick Ciurria,"Monza,",27,", M(R)",8(5),771,3,1,26.1,82.9,0.7,0.9,0,6.5
Divock Origi,"AC Milan,",27,", AM(LR),FW",4(6),432,1,0.6,7.9,70.9,0,0.2,0,6.5
Gerrit Holtmann,"Bochum,",27,", D(L),M(LR)",7(6),733,1,0.6,12.8,69.3,0.3,0.1,0,6.5
Samuel Chukwueze,"Villarreal,",23,", AM(CR)",5(8),534,1,1.1,14.1,76,0.3,0.5,0,6.5
Nathan Collins,"Wolves,",21,", D(CR)",12,1023,0,0.2,52.5,89.7,0,3.8,0,6.5
Adam Lallana,"Brighton,",34,", M(CLR)",8(3),495,1,1,18.9,84.1,0.2,0.1,0,6.5
Sebastiaan Bornauw,"Wolfsburg,",23,", D(C)",9(1),727,0,0.1,35.7,81.2,0,1.9,0,6.5
Sam Lammers,"Empoli,",25,", FW",10(4),886,1,0.7,16.1,63.6,0,0.1,0,6.49
Giovanni Reyna,"Borussia Dortmund,",20,", AM(CLR)",3(7),363,0,0.7,12.8,74.2,0.5,0.2,0,6.49
Alexander Hack,"Mainz,",29,", D(C)",13,992,0,0.2,37.9,74.6,0,4.7,0,6.49
Leandro Cabrera,"Espanyol,",31,", D(CL)",13,1108,0,0.4,44,74.5,0,3.4,0,6.49
Ángel Correa,"Atletico,",27,", AM(CLR),FW",4(10),509,0,0.6,14.2,82.9,0.3,0.3,0,6.49
Brecht Dejaegere,"Toulouse,",31,", AM(C)",10(2),776,0,0.4,21.3,80.4,0,0.7,0.1,6.49
Neeskens Kebano,"Fulham,",30,", AM(CLR)",9(3),719,3,0.9,14,80.4,0.3,0.1,0,6.49
Adam Webster,"Brighton,",27,", D(C)",13,1170,0,0.2,66,86.5,0.1,4.1,0,6.49
André Gomes,"Lille,",29,", M(CLR)",6(3),537,0,0.7,43.7,85,0.1,1.6,0,6.49
Alex Telles,"Sevilla,",29,", D(L),M(L)",7(6),752,2,1,23.7,80.5,1.3,0.7,0,6.49
Nicolas Jackson,"Villarreal,",21,", FW",8(5),777,2,0.6,10.2,72.7,0.1,0.2,0,6.49
Jeff Reine-Adélaïde,"Lyon,",24,", AM(CLR),FW",1(10),305,0,0.6,26.2,89.6,0.2,0.5,0.1,6.49
Tobias Mohr,"Schalke,",27,", D(L),M(CL)",8(3),696,2,1.4,26.7,67,1,3.2,0.1,6.49
Jeremy Toljan,"Sassuolo,",28,", D(LR),M(LR)",14(1),1319,1,1,41.1,82.6,0.3,2.1,0.1,6.49
Ferran Torres,"Barcelona,",22,", AM(LR),FW",6(7),567,0,0.5,16.3,83,0.1,0.6,0,6.49
Jonny Evans,"Leicester,",34,", D(CL)",9,810,0,0.1,74.4,89.4,0,4.3,0,6.49
Benoît Costil,"Auxerre,",35,", GK",15,1350,0,0,27.1,68.5,0,8.4,0,6.49
Unai Simón,"Athletic Bilbao,",25,", GK",14,1260,0,0,24.9,71.3,0,4.5,0,6.49
Rayan Aït-Nouri,"Wolves,",21,", D(L),M(L)",7(3),667,0,0.6,29.4,82.7,0.5,0.6,0,6.48
Toni Lato,"Valencia,",25,", D(L)",2(7),271,0,1,19.9,87.7,0.6,0.9,0,6.48
Charalampos Lykogiannis,"Bologna,",29,", D(CL),M(L)",6(6),587,0,0.7,20.3,72,0.7,1.1,0,6.48
Thierno Baldé,"Troyes,",20,", D(R)",10(1),802,0,0.7,25.3,84.9,0.2,0.3,0,6.48
Dany Mota,"Monza,",24,", FW",7(3),608,0,0.9,16.5,69.7,0.2,0.3,0,6.48
Jonathan Burkardt,"Mainz,",22,", AM(CR),FW",7(4),537,2,0.6,8.7,71.9,0.2,0.3,0.1,6.48
Yoane Wissa,"Brentford,",26,", AM(L),FW",6(9),637,1,0.3,8.7,75.4,0,0.3,0,6.48
Anthony Caci,"Mainz,",25,", D(CLR),M(L)",6(6),617,0,0.5,28.7,74.1,0.6,3.4,0,6.48
Nico González,"Valencia,",20,", DMC",5(7),513,0,0.3,30.5,89.9,0,1.3,0,6.48
Duván Zapata,"Atalanta,",31,", FW",6(3),512,0,0.3,15.4,69.1,0,0.2,0,6.48
Cheikhou Kouyaté,"Nottingham Forest,",32,", D(CR),DMC",9(3),709,0,0.4,17.1,77.6,0,0.9,0,6.48
Josuha Guilavogui,"Wolfsburg,",32,", D(C),M(C)",4(6),451,0,0.3,20.6,78.6,0,1.8,0,6.48
Tonny Vilhena,"Salernitana,",27,", D(L),M(CL)",11(3),987,1,0.6,26.3,79.3,0.5,0.7,0,6.48
Antonio Rüdiger,"Real Madrid,",29,", D(CR)",7(5),683,0,0.2,40.5,92.8,0,1.8,0.1,6.48
Filip Djuricic,"Sampdoria,",30,", AM(CLR),FW",13(2),1017,0,1.4,22.9,77.9,0.6,0.9,0,6.48
Nacho Vidal,"Osasuna,",27,", D(R)",10(3),892,0,0.2,25.7,76.6,0.2,1.3,0.1,6.48
Alexis Blin,"Lecce,",26,", DMC",6(7),687,0,0.2,22.9,83.6,0.1,0.6,0,6.48
Gerson,"Marseille,",25,", M(CLR)",6(4),420,0,0.4,17.6,82.4,0,0.3,0,6.48
Lassine Sinayoko,"Auxerre,",22,", AM(R)",10(4),866,2,0.8,20.9,75.1,0.2,0.6,0.1,6.48
Haris Belkebla,"Brest,",28,", DMC",12(3),1087,0,0.5,38.3,84.3,0.1,1.5,0,6.47
Unai Núñez,"Celta Vigo,",25,", D(C)",13,1170,0,0.2,57.2,88.6,0,4.1,0,6.47
