name,team,age,position,apps,minutesPlayed,shotsTotal,shotOboxTotal,shotSixYardBox,shotPenaltyArea,rating
Yusuf Yazici,"Lille,",25,", M(CLR),FW",4,202,1.3,0.8,0,0.5,6.55
Jorginho,"Chelsea,",30,", DMC",13,906,0.4,0.2,0,0.2,6.55
John McGinn,"Aston Villa,",28,", M(C)",15,1059,1.2,0.9,0,0.3,6.55
Bingourou Kamara,"Montpellier,",26,", GK",5,407,0,0,0,0,6.55
Igor Zubeldia,"Real Sociedad,",25,", D(C),DMC",10,719,0.4,0.2,0.1,0.1,6.55
Santiago Ascacíbar,"Cremonese,",25,", DMC",12,701,1.2,1.1,0,0.1,6.55
Dani Rodríguez,"Mallorca,",34,", AM(CLR)",13,694,0.5,0.4,0,0.2,6.55
Jonathan Ikoné,"Fiorentina,",24,", AM(CLR),FW",14,835,1.5,0.6,0,0.9,6.55
Maximilian Kilman,"Wolverhampton,",25,", D(C)",15,1350,0.3,0,0.1,0.3,6.55
Juan Musso,"Atalanta,",28,", GK",10,818,0,0,0,0,6.55
Adrián Embarba,"Espanyol,",30,", AM(CLR),FW",1,34,2,2,0,0,6.55
Houssem Aouar,"Lyon,",24,", M(CL)",6,349,1,0.3,0.2,0.5,6.55
Joel Ward,"Crystal Palace,",33,", D(CLR),DMC,M(R)",12,1021,0,0,0,0,6.55
Leander Dendoncker,"Wolverhampton,",27,", D(C),M(C)",4,213,0.8,0.3,0,0.5,6.55
Leandro Paredes,"Paris Saint-Germain,",28,", DMC",3,49,0,0,0,0,6.55
Pierre Kalulu,"AC Milan,",22,", D(CR)",15,1038,0.5,0.1,0.1,0.3,6.55
Niklas Schmidt,"Werder Bremen,",24,", AM(C)",7,201,0.7,0.1,0,0.6,6.55
Simon Kjaer,"AC Milan,",33,", D(C)",7,445,0,0,0,0,6.55
Tiago Tomás,"VfB Stuttgart,",20,", AM(CR),FW",13,726,1.3,0.5,0.2,0.6,6.55
Rayan Cherki,"Lyon,",19,", AM(R)",12,215,0.8,0.4,0,0.3,6.55
Joris Chotard,"Montpellier,",21,", DMC",13,956,0.3,0.3,0,0,6.55
Moise Kean,"Juventus,",22,", AM(LR),FW",13,487,1.5,0.2,0.1,1.2,6.55
Julian Weigl,"Borussia M.Gladbach,",27,", D(C),DMC",11,903,0.2,0,0.1,0.1,6.55
Anthony Lopes,"Lyon,",32,", GK",12,1017,0,0,0,0,6.55
Jonny,"Wolverhampton,",28,", D(CLR),M(LR)",12,982,0.7,0.5,0,0.2,6.55
José Fonte,"Lille,",38,", D(C)",14,1260,0.6,0.2,0.1,0.3,6.55
Nabil Fekir,"Real Betis,",29,", AM(CLR),FW",8,434,1.4,0.5,0,0.9,6.55
Henning Matriciani,"Schalke 04,",22,", D(CR)",8,697,0,0,0,0,6.55
Pathé Ciss,"Rayo Vallecano,",28,", DMC",13,638,0.8,0.3,0.2,0.3,6.55
Unai García,"Osasuna,",30,", D(C)",13,1119,0.3,0.1,0.1,0.2,6.55
Luca D'Andrea,"Sassuolo,",18,", AM(R)",5,321,1.4,0.2,0,1.2,6.55
Moussa Djenepo,"Southampton,",24,", M(LR)",10,524,0.2,0,0,0.2,6.55
Pervis Estupiñán,"Brighton,",24,", D(L)",11,635,0.4,0.2,0,0.2,6.55
Amos Pieper,"Werder Bremen,",24,", D(C)",14,1104,0.5,0.1,0,0.4,6.54
Jordan Lotomba,"Nice,",24,", D(LR),M(R)",14,934,0.4,0.2,0,0.1,6.54
Rodrigo Ely,"Almeria,",29,", D(C)",14,1235,0.6,0.1,0,0.5,6.54
